qseqid	sseqid	evalue	identity	coverage	kingdom	phylum	class	order	family	genus	species
ITS_OTUa_22578	Cistella_albidolutea|HQ446076|SH198116.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella_albidolutea	3.10E-70	0.980392157	0.987096774	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella_albidolutea
ITS_OTUa_4582	Cistella_albidolutea|HQ446076|SH198116.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella_albidolutea	4.92E-74	0.993548387	1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella_albidolutea
GL48919	Cistella_grevillei|U57089|SH015839.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella_grevillei	6.96E-127	0.97037037	0.846394984	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella_grevillei
GL45796	Cistella_spicicola|GU727553|SH021342.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella_spicicola	1.78E-134	0.985507246	0.851851852	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella_spicicola
GL39164	Gemmina_gemmarum|KX501127|SH630403.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gemmina;s__Gemmina_gemmarum	3.43E-137	0.979020979	0.882716049	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gemmina	Gemmina_gemmarum
GL42692	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	7.54E-133	0.981751825	0.848297214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL43829	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	1.68E-128	0.971119134	0.849693252	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL45137	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	9.24E-132	0.97826087	0.849230769	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL45766	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	9.18E-132	0.974910394	0.86377709	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL45833	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	3.21E-131	0.978181818	0.848765432	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL46375	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	3.90E-130	0.974452555	0.848297214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL46429	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	7.54E-133	0.981751825	0.848297214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL46511	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	4.76E-129	0.97080292	0.848297214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL46593	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	9.18E-132	0.97810219	0.848297214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL46667	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	1.77E-134	0.98540146	0.848297214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
ITS_OTUa_2639	Gyoerffyella_entomobryoides|KC834056|SH184432.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_entomobryoides	9.10E-71	0.974683544	1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides
GL46923	Gyoerffyella_tricapillata|KC834059|SH089169.07FU|refs_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__Gyoerffyella_tricapillata	4.72E-129	0.97080292	0.853582555	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_tricapillata
GL45143	Hamatocanthoscypha_laricionis|JN033441|SH202728.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hamatocanthoscypha;s__Hamatocanthoscypha_laricionis	7.56E-133	0.988847584	0.830246914	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hamatocanthoscypha	Hamatocanthoscypha_laricionis
GL46369	Hamatocanthoscypha_laricionis|JN033441|SH202728.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hamatocanthoscypha;s__Hamatocanthoscypha_laricionis	1.77E-134	0.98540146	0.848297214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hamatocanthoscypha	Hamatocanthoscypha_laricionis
GL39326	Hyaloscypha_aureliella|EU940229|SH181086.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_aureliella	4.72E-129	0.974358974	0.85046729	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_aureliella
GL41751	Hyaloscypha_aureliella|EU940229|SH181086.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_aureliella	6.99E-127	0.970588235	0.85	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_aureliella
GL48098	Hyaloscypha_aureliella|EU940229|SH181086.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_aureliella	2.45E-126	0.970695971	0.85046729	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_aureliella
GL48512	Hyaloscypha_aureliella|EU940229|SH181086.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_aureliella	1.99E-127	0.970479705	0.849529781	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_aureliella
GL48552	Hyaloscypha_aureliella|EU940229|SH181086.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_aureliella	6.99E-127	0.970588235	0.85	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_aureliella
GL49117	Hyaloscypha_aureliella|EU940229|SH181086.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_aureliella	1.64E-128	0.974169742	0.849529781	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_aureliella
GL05654	Hyaloscypha_fuckelii|EU940230|SH214297.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_fuckelii	6.14E-134	0.989010989	0.85046729	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_fuckelii
GL48582	Hyaloscypha_fuckelii|EU940230|SH214297.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_fuckelii	3.17E-131	0.981684982	0.853125	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_fuckelii
GL03382	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	1.54E-122	0.973282443	0.81875	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL03384	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	3.85E-130	0.984962406	0.833855799	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL42401	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	3.84E-130	0.981412639	0.84591195	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL48092	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	8.24E-93	0.970588235	0.839506173	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL48326	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	1.34E-129	0.98490566	0.830721003	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL48486	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	1.99E-127	0.977443609	0.833855799	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL48513	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	1.74E-134	0.992565056	0.84591195	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL48846	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	4.68E-129	0.977695167	0.84591195	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL48882	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	6.50E-121	0.972972973	0.814465409	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL48892	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	1.64E-128	0.977777778	0.846394984	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL48973	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	2.59E-132	0.988888889	0.846394984	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL49040	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	5.72E-128	0.981132075	0.830721003	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL49049	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	1.64E-128	0.98490566	0.830721003	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL49078	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	2.87E-125	0.980916031	0.84516129	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL49203	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	1.99E-127	0.98467433	0.818181818	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL49206	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	6.94E-127	0.977358491	0.833333333	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL49230	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	8.35E-93	0.97029703	0.821138211	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL49350	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	3.72E-97	0.985221675	0.838842975	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
ITS_OTUa_1491	Hyaloscypha_leuconica_var._bulbopilosa|AB847029|SH181082.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_leuconica_var._bulbopilosa	1.14E-82	0.994152047	1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_leuconica_var._bulbopilosa
GL49063	Hyaloscypha_monodictys|JN033456|SH027383.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_monodictys	2.13E-133	0.988888889	0.846394984	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_monodictys
GL44574	Hyphodiscus_brachyconius|GU727557|SH196486.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyphodiscus;s__Hyphodiscus_brachyconius	1.13E-130	0.974729242	0.849693252	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyphodiscus	Hyphodiscus_brachyconius
GL34770	Hyphodiscus_theiodeus|AB546953|SH014725.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyphodiscus;s__Hyphodiscus_theiodeus	2.67E-69	0.974358974	0.449567723	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyphodiscus	Hyphodiscus_theiodeus
GL49262	Lachnellula_calyciformis|U59145|SH201617.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnellula;s__Lachnellula_calyciformis	2.95E-125	0.973782772	0.839622642	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnellula	Lachnellula_calyciformis
GL47283	Lachnum_asiaticum|HQ211694|SH201628.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_asiaticum	1.90E-94	0.985	0.836820084	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_asiaticum
GL47849	Lachnum_fuscescens|AB481254|SH196492.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_fuscescens	2.38E-99	0.985645933	0.904761905	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_fuscescens
GL47845	Lachnum_pulverulentum|AB481260|SH110535.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pulverulentum	1.76E-134	0.988970588	0.847352025	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pulverulentum
GL43684	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	2.61E-132	0.985294118	0.847352025	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL47857	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	1.64E-128	0.977941176	0.85	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL47871	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	1.31E-96	0.985294118	0.839506173	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL47924	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	5.04E-135	0.992647059	0.847352025	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL48190	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	6.12E-134	0.988929889	0.846875	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL48380	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	7.46E-133	0.985239852	0.846875	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL48640	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	7.43E-133	0.985239852	0.849529781	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL48679	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	3.85E-130	0.977859779	0.849529781	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL49044	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	3.85E-130	0.981549815	0.849529781	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
ITS_OTUa_9438	Lachnum_pygmaeum|FJ378855|SH201605.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_pygmaeum	2.37E-78	0.993865031	1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_pygmaeum
GL47500	Lachnum_virgineum|AB847053|SH201624.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_virgineum	3.89E-130	0.978021978	0.847826087	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_virgineum
GL48525	Lachnum_virgineum|JF937586|SH201666.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_virgineum	5.73E-128	0.974264706	0.85	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_virgineum
GL48615	Lachnum_virgineum|AB481268|SH201663.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_virgineum	1.75E-134	0.988970588	0.852664577	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_virgineum
ITS_OTUa_1509	Lachnum_virgineum|AB481268|SH201663.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum;s__Lachnum_virgineum	6.84E-79	0.993902439	1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_virgineum
GL47360	Lemonniera_centrosphaera|KC834063|SH184435.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lemonniera;s__Lemonniera_centrosphaera	5.04E-135	0.989010989	0.85046729	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lemonniera	Lemonniera_centrosphaera
ITS_OTUa_13060	Phialea_strobilina|EF596821|SH215464.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Phialea;s__Phialea_strobilina	2.59E-71	0.974522293	1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Phialea	Phialea_strobilina
GL48556	Protounguicularia_variepilosa|EU940163|SH025068.07FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Protounguicularia;s__Protounguicularia_variepilosa	4.08E-136	0.992647059	0.858044164	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Protounguicularia	Protounguicularia_variepilosa
