"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"Ascospores reniform, almost hat-shaped, aseptate, hyaline, invested in a sheath, 3-4 x 1-2 µm,","Ceratocystis francke-grosmanniae_3884","Ascospores","3-4 x 1-2","3-4","1-2",NA,3.5,1.5
"Ascospores allantoid, aseptate, hyaline, invested in a sheath, 3.2-4.5 x 1.6-2.5 µm","Ceratocystis grandifoliae_271230","Ascospores","3.2-4.5 x 1.6-2.5","3.2-4.5","1.6-2.5",NA,3.85,2.05
"Ascospores subcurvate (bean-shaped) (Goheen and Cobb, 1978). 
Conidiophores occurring singly or in groups of up to five, arising directly from the mycelium, erect, macronematous, mononematous, (570-)569-823(-880) µm","Ceratocystis wageneri_179136","Ascospores","(570-)569-823(-880)","569-823",NA,NA,696,696
"Ascospores cylindrical, ends rounded, slightly sigmoid, hyaline, aseptate; becoming differentiated into a swollen head and pedicel and transversely uniseptate; 70-90(-95) x 6-10 µm,","Cercophora californica_221908","Ascospores","; 70-90(-95) x 6-10","70-90","6-10",NA,80,8
"Ascospores cylindrical, ends rounded, 33-60 x 2.5-5 µm","Cercophora lanuginosa_227667","Ascospores","33-60 x 2.5-5","33-60","2.5-5",NA,46.5,3.75
"Ascospores becoming differentiated into a swollen head and pedicel, head 15-19 x 8-10 µm,","Cercophora natalitia_32646","Ascospores","15-19 x 8-10","15-19","8-10",NA,17,9
"ascospores are rather irregular in shape, but are often nearly clavate or obovate, rounded at one end, attenuated and provided with a distinct germ pore at the other, 11-14 x 6-7 µm","Chaetomidium fragile_4346","ascospores","11-14 x 6-7","11-14","6-7",NA,12.5,6.5
"ascospores and the conidia (Mouchacca, 1973). The ascomata have a diameter of 50-120 µm,","Chaetomidium sepedonium_258848","ascospores","50-120","50-120",NA,NA,85,85
"ascospores are ellipsoidal or broadly fusiform and measure 15-19 x 8-10 µm.","Chaetomidium sepedonium_258848","ascospores","15-19 x 8-10","15-19","8-10",NA,17,9
"ascospores proved to be nearly limoniform and 10-15 x 8-11 µm","Chaetomidium sepedonium_258848","ascospores","10-15 x 8-11","10-15","8-11",NA,12.5,9.5
"ascospores with a distinct germ pore at both ends, and with Chrysosporium (Sepedonium) as anamorphs; but in the latter ascospores with one germ pore. ** Corynascus similar to Microthecium (non-ostiolate counterpart of Melanospora), but the latter having light, translucent peridium, and the absence of Chrysosporium (Sepedonium) anamorph and darker, occasionally ornamented ascospores. 
Ref Emmons, C. W., 1932, Bull. Torrey bot. Club, 59: 417. => Thielavia sepedonium: Growth of cultures on PDA is rapid and the aerial mycelium becomes golden yellow with the production of masses of the Sepedonium-like conidia. These are spherical, rugulose, 7-10 µm","Chaetomidium sepedonium_258848","ascospores","7-10","7-10",NA,NA,8.5,8.5
"ascospores with one germ pore. ** Corynascus similar to Microthecium (non-ostiolate counterpart of Melanospora), but the latter having light, translucent peridium, and the absence of Chrysosporium (Sepedonium) anamorph and darker, occasionally ornamented ascospores. 
Ref Emmons, C. W., 1932, Bull. Torrey bot. Club, 59: 417. => Thielavia sepedonium: Growth of cultures on PDA is rapid and the aerial mycelium becomes golden yellow with the production of masses of the Sepedonium-like conidia. These are spherical, rugulose, 7-10 µm","Chaetomidium sepedonium_258848","ascospores","7-10","7-10",NA,NA,8.5,8.5
"Ascospores boradly ellipsoid, dark brown, 14-19 x 7-10 µm","Chaetomidium sepedonium_258848","Ascospores","14-19 x 7-10","14-19","7-10",NA,16.5,8.5
"ascospores broadly ellipsoid, dark brown, 14-19 x 7-10 µm","Chaetomidium sepedonium_258848","ascospores","14-19 x 7-10","14-19","7-10",NA,16.5,8.5
"Ascospores elliptic-fusoid, brown, 16.5-21 x 8-10 µm,","Chaetomidium sepedonium_258848","Ascospores","16.5-21 x 8-10","16.5-21","8-10",NA,18.75,9
"Ascospores boradly ellipsoid, dark brown, 14-19 x 7-10 µm","Chaetomidium sepedonium_258848","Ascospores","14-19 x 7-10","14-19","7-10",NA,16.5,8.5
"Ascospores 11-15 x 6-8 µm.","Chaetomidium sepedonium_258848","Ascospores","11-15 x 6-8","11-15","6-8",NA,13,7
"ascospores broadly fusiform or elliptical, slightly apiculate at both ends, dark olivaceous to brown, 10-16 x 7-9 µm,","Chaetomium terricola_271272","ascospores","10-16 x 7-9","10-16","7-9",NA,13,8
"ascospores 11-16 x 6.5-8 µm.","Chaetomium terricola_271272","ascospores","11-16 x 6.5-8","11-16","6.5-8",NA,13.5,7.25
"ascospores (10-) 12-17 (-18) x (6.5-) 7-10 µm.","Chaetomium terricola_271272","ascospores","(10-) 12-17 (-18) x (6.5-) 7-10","12-17","7-10",NA,14.5,8.5
"ascospores 9-12 x 5-6 µm.","Chaetomium terricola_271272","ascospores","9-12 x 5-6","9-12","5-6",NA,10.5,5.5
"ascospores ellipsoid, 10-13 x 7-7.5 µm,","Chaetomium terricola_271272","ascospores","10-13 x 7-7.5","10-13","7-7.5",NA,11.5,7.25
"ascospores ellipsoid, olivaceousbrown, 12-16 x 7.5-9.5 µm,","Chaetomium terricola_271272","ascospores","12-16 x 7.5-9.5","12-16","7.5-9.5",NA,14,8.5
"ascospores 5.6-10.4 x 4.0-6.4 µm;","Chaetomium terricola_271272","ascospores","5.6-10.4 x 4.0-6.4","5.6-10.4","4.0-6.4",NA,8,5.2
"ascospores 12-17 x 7-10 µm,","Chaetomium terricola_271272","ascospores","12-17 x 7-10","12-17","7-10",NA,14.5,8.5
"ascospores ellipsoidal or slightly fusiform, 12-16 x 7-9 µm,,","Chaetomium terricola_271272","ascospores","12-16 x 7-9","12-16","7-9",NA,14,8
"Ascospores 14-18 x 6-8 µm.","Chaetomium terricola_271272","Ascospores","14-18 x 6-8","14-18","6-8",NA,16,7
"Ascospores 11-12.5 x 7.5-8.5 µm.
Ref","Chaetomium terricola_271272","Ascospores","11-12.5 x 7.5-8.5","11-12.5","7.5-8.5",NA,11.75,8
"ascospores broadly fusiform or elliptical, slightly appiculate at both ends, dark olivaceous to brown, 7-9 x 10-16 µm,","Chaetomium terricola_271272","ascospores","7-9 x 10-16","7-9","10-16",NA,8,13
"Ascospores 11-16 x 6.5-8. ** Dennis, R. W. G., 1970, Fungus Flora of Venezuela and Adjacent Countries, Her Majesty's Stationary Office, London. => p. 320: Thielavia terricola. Cleistocarps black, smooth, globose, 80-200 µm","Chaetomium terricola_271272","Ascospores","80-200","80-200",NA,NA,140,140
"ascospores 12-17 x 7-10 µm,","Chaetomium terricola_271272","ascospores","12-17 x 7-10","12-17","7-10",NA,14.5,8.5
"Ascospores ellipsoid, olivaceous-brown, 12-16 x 7.5-9.5 µm,","Chaetomium terricola_271272","Ascospores","12-16 x 7.5-9.5","12-16","7.5-9.5",NA,14,8.5
"ascospores (Fig. 87G) lenticular with few to several sharp spines (up to 1.3 µm","Chaetosartorya chrysella_4955","ascospores","1.3","1.3",NA,NA,1.3,1.3
"ascospores (Fig. 85D) lenticular, colorless, 6.6 to 7.7 µm","Chaetosartorya cremea_4959","ascospores","7.7","7.7",NA,NA,7.7,7.7
"Ascospores monostichous, fusiform, smooth-walled, 2-celled, when young with a thick, chromophilic septum, cells separating at maturity within the ascus (but somewhat less easily than in Chaet. inaequalis), part spores 3.0-4.0 x 2.2-2.7 µm,","Chaetosphaeria chloroconia_52992","Ascospores","3.0-4.0 x 2.2-2.7","3.0-4.0","2.2-2.7",NA,3.5,2.45
"Ascospores obliquely monostichous, fusiform, when young with a thick, refringent, chromophilic septum, hyaline, roughened, the cells separating at an early stage within the ascus, part spores 2.5-3.5(-4.5) x 2.0-2.5 µm,","Chaetosphaeria inaequalis_12155","Ascospores","2.5-3.5(-4.5) x 2.0-2.5","2.5-3.5","2.0-2.5",NA,3,2.25
"Ascospores obliquely uniseriate, cylindrical to ellipsoidal, two-celled, with a thin median septum, hyaline, almost smooth-walled, 5.0-7.0 x 1.7-2.0 µm,","Chaetosphaeria preussii_179218","Ascospores","5.0-7.0 x 1.7-2.0","5.0-7.0","1.7-2.0",NA,6,1.85
"Ascospores arranged in a single row, hyaline, smooth or faintly roughened, [p. 16] ellipsoidal to slightly fusiform, with a thick, refringent and chromophilic septum in the middle, mostly breaking apart in a rather early stage within the ascus; part spores of almost equal size and shape, conical with rounded ends, 3,2-5.0 x 2.0-3.0 µm.","Chaetosphaeria vermicularioides_33436","Ascospores","3,2-5.0 x 2.0-3.0","3.2-5.0","2.0-3.0",NA,4.1,2.5
"Ascospores hyaline, 1-septate, becoming light brown and slightly verrucose, 12-15 x 5-6 µm.","Chitinonectria coccinea_239276","Ascospores","12-15 x 5-6","12-15","5-6",NA,13.5,5.5
"Ascospores hyaline, pale yellow in Melzer's, not bluing in cotton blue, thin-walled, smooth, cylindrical to allantoid or irregularly fusoid, often appearing 1-septate, (9-)10-14.5(-17) x 2.8-3.5 µm.
Substrate:","Chlorencoelia versiformis_162363","Ascospores","(9-)10-14.5(-17) x 2.8-3.5","10-14.5","2.8-3.5",NA,12.25,3.15
"Ascospores (20-)24.5-31.5(-33)-(7.5-)9-9.5 µm,","Chloridium laeënse_117226","Ascospores","(20-)24.5-31.5(-33) x (7.5-)9-9.5","24.5-31.5","9-9.5",NA,28,9.25
"Ascospores ellipsoidal to ovoidal, brown, 7.5-11.0 x 4.5-7.0 µm,","Chrysosporium thermophilum_5306","Ascospores","7.5-11.0 x 4.5-7.0","7.5-11.0","4.5-7.0",NA,9.25,5.75
"Ascospores filiform, hyaline, eight per ascus, septate, 140-230 µm","Claviceps virens_233797","Ascospores","140-230","140-230",NA,NA,185,185
"ascospores conglobate, 5-5.5 x 3.5-4 µm,","Cleistothelebolus nipigonensis_5639","ascospores","5-5.5 x 3.5-4","5-5.5","3.5-4",NA,5.25,3.75
"ascospores brown, uniseptate, brown, constricted at the septum, 20-22 x 8-10 µm,","Clypeolella cryptolepidis_271384","ascospores","20-22 x 8-10","20-22","8-10",NA,21,9
"Ascospores narrowly ellipsoid-fusoid, hyaline, medianly 1-septate, 16-21 (-30) x 3-4 (-5) µm.","Clypeoporthe iliau_159361","Ascospores","16-21 (-30) x 3-4 (-5)","16-21","3-4",NA,18.5,3.5
"ascospores lying parallel with the long axis of the ascus. Ascospores: colourless, thin-walled, smooth, filiform, almost straight, aseptate, 60-90 x 3-4 µm,","Coccomyces leptideus_120735","ascospores","60-90 x 3-4","60-90","3-4",NA,75,3.5
"Ascospores hyaline, filiform, commonly tapered considerably towards the base and less so towards the rounded or sometimes acute apex, helically coiled in the ascus and often doubled back at one or both ends, with a hyaline mucilaginous sheath (visible in water mounts), 1-10-septate, occasionally constricted at the septa, 120-320 x 5-8,5 µm.","Cochliobolus chloridis_8929","Ascospores","120-320 x 5-8,5","120-320","5-8.5",NA,220,6.75
"Ascospores filiform, (8-) 10-12 (-14)-septate, hyaline, closely spirally coiled in the ascus or with ends loosening from the coil, 195-420 x 3,5-4,5 µm.","Cochliobolus cymbopogonis_7268","Ascospores","195-420 x 3,5-4,5","195-420","3.5-4.5",NA,307.5,4
"Ascospores hyaline, filiform, tapering to an acute end, loosely coiled in the ascus, 85-190 x 2,5-6 µm,","Cochliobolus hawaiiensis_8976","Ascospores","85-190 x 2,5-6","85-190","2.5-6",NA,137.5,4.25
"ascospores lying more-or-less parallel with the long axis of the ascus, sometimes helically curved towards the top. Ascospores: colourless, thin-walled, smooth, aseptate, filiform, almost straight, 35-55 x 1-2 µm,","Colpoma ledi_152146","ascospores","35-55 x 1-2","35-55","1-2",NA,45,1.5
"ascospores are ellipsoidal or nearly reniform, 1-celled, already within the sci becoming dark brown and measuring 6-8 x 4-5 x 3-4 µm.","Coniochaetidium boothii_6300","ascospores","6-8 x 4-5 x 3-4","6-8","4-5","3-4",7,4.5
"ascospores and their wall is very evanescent. The broadly fusiform, in cross section ovate ascospores measure 16-21 x 6-7 x 7-8 µm,","Coniochaetidium savoryi_6304","ascospores","16-21 x 6-7 x 7-8","16-21","6-7","7-8",18.5,6.5
"ascospores measure 16-21 x 6-7 x 7-8 µm,","Coniochaetidium savoryi_6304","ascospores","16-21 x 6-7 x 7-8","16-21","6-7","7-8",18.5,6.5
"ascospores proved to be laterally more flattened and measured 12-18 x 6-7.5 x 7.5-9 µm.","Coniochaetidium savoryi_6304","ascospores","12-18 x 6-7.5 x 7.5-9","12-18","6-7.5","7.5-9",15,6.75
"ascospores narrowly bean-shaped in side view, elliptical in face view, not markedly compressed in any plane (thus round in radial section), hyaline, pure white in mass, smooth, without appendages, lacking germ pores, 1-celled, not dextrinoid, swelling considerably upon germination, 3.7-5.7 x 1.7-2.3 µm.","Connersia rilstonii_6460","ascospores","3.7-5.7 x 1.7-2.3","3.7-5.7","1.7-2.3",NA,4.7,2
"ascospores ellipsoidal, nearly spherical or reniform, often flattened at one side, smooth, dark brown, containing a large bubble, 13-17 x 9-14 µm","Corynascella humicola_6939","ascospores","13-17 x 9-14","13-17","9-14",NA,15,11.5
"ascospores were obtained only at 27-33° and not at 36 or at 24°C.
Occasionally some blastoconidia with a broad base are formed in the aerial mycelium on tips of hyphal branches. The conidia are broadly clavate, obovate or reniform, usually with a truncate base, 1-celled, hyaline and 4-6 x 1.5-3 µm","Corynascella humicola_6939","ascospores","4-6 x 1.5-3","4-6","1.5-3",NA,5,2.25
"ascospores and the conidia (Mouchacca, 1973). The ascomata have a diameter of 50-120 µm,","Corynascus sepedonium_6948","ascospores","50-120","50-120",NA,NA,85,85
"ascospores are ellipsoidal or broadly fusiform and measure 15-19 x 8-10 µm.","Corynascus sepedonium_6948","ascospores","15-19 x 8-10","15-19","8-10",NA,17,9
"ascospores proved to be nearly limoniform and 10-15 x 8-11 µm","Corynascus sepedonium_6948","ascospores","10-15 x 8-11","10-15","8-11",NA,12.5,9.5
"ascospores with a distinct germ pore at both ends, and with Chrysosporium (Sepedonium) as anamorphs; but in the latter ascospores with one germ pore. ** Corynascus similar to Microthecium (non-ostiolate counterpart of Melanospora), but the latter having light, translucent peridium, and the absence of Chrysosporium (Sepedonium) anamorph and darker, occasionally ornamented ascospores. 
Ref Emmons, C. W., 1932, Bull. Torrey bot. Club, 59: 417. => Thielavia sepedonium: Growth of cultures on PDA is rapid and the aerial mycelium becomes golden yellow with the production of masses of the Sepedonium-like conidia. These are spherical, rugulose, 7-10 µm","Corynascus sepedonium_6948","ascospores","7-10","7-10",NA,NA,8.5,8.5
"ascospores with one germ pore. ** Corynascus similar to Microthecium (non-ostiolate counterpart of Melanospora), but the latter having light, translucent peridium, and the absence of Chrysosporium (Sepedonium) anamorph and darker, occasionally ornamented ascospores. 
Ref Emmons, C. W., 1932, Bull. Torrey bot. Club, 59: 417. => Thielavia sepedonium: Growth of cultures on PDA is rapid and the aerial mycelium becomes golden yellow with the production of masses of the Sepedonium-like conidia. These are spherical, rugulose, 7-10 µm","Corynascus sepedonium_6948","ascospores","7-10","7-10",NA,NA,8.5,8.5
"Ascospores boradly ellipsoid, dark brown, 14-19 x 7-10 µm","Corynascus sepedonium_6948","Ascospores","14-19 x 7-10","14-19","7-10",NA,16.5,8.5
"ascospores broadly ellipsoid, dark brown, 14-19 x 7-10 µm","Corynascus sepedonium_6948","ascospores","14-19 x 7-10","14-19","7-10",NA,16.5,8.5
"Ascospores elliptic-fusoid, brown, 16.5-21 x 8-10 µm,","Corynascus sepedonium_6948","Ascospores","16.5-21 x 8-10","16.5-21","8-10",NA,18.75,9
"Ascospores boradly ellipsoid, dark brown, 14-19 x 7-10 µm","Corynascus sepedonium_6948","Ascospores","14-19 x 7-10","14-19","7-10",NA,16.5,8.5
"Ascospores 11-15 x 6-8 µm.","Corynascus sepedonium_6948","Ascospores","11-15 x 6-8","11-15","6-8",NA,13,7
"Ascospores one-celled, ellipsoidal to broadly fusiform or navicular in lateral view, 11-23 x 6.5-13 µm,","Corynascus sepedonium_6948","Ascospores","11-23 x 6.5-13","11-23","6.5-13",NA,17,9.75
"Ascospores irregularly biseriate in the ascus, hyaline, 1-septate, not or very slightly constricted at the septum, elliptic, usually straight, rounded at the ends, 7-12 x 3-5,5 µm.","Cryphonectria parasitica_7059","Ascospores","7-12 x 3-5,5","7-12","3-5.5",NA,9.5,4.25
"Ascospores fusiform, pale to mid brown, smooth, transversely 5-8 (mostly 7) septate, with usually one vertical septum in all but the end cells, sometimes with a Y shaped septum in one of the end cells, constricted at the middle septum, 35-50 x 13-15 µm.","Cucurbidothis piceae_415048","Ascospores","35-50 x 13-15","35-50","13-15",NA,42.5,14
"Ascospores monostichous in the ascus, 3-5 transversely septate, with one incomplete vertical septum in some of the cells and oblique septum in the end cells, 16-25 x 7-9 µm,","Curreya pityophila_121216","Ascospores","16-25 x 7-9","16-25","7-9",NA,20.5,8
"Ascospores biseriate, hyaline, ellipsoidal, uniseptate, slightly or not constricted at septum, 8-12 x 3-4 µm.","Diaporthe manihotis_179704","Ascospores","8-12 x 3-4","8-12","3-4",NA,10,3.5
"Ascospores biseriate, hyaline, ellipsoidal, uniseptate, more or less constricted at the septum, guttulate, 8-12 x 2,5-4 µm.","Diaporthe woodii_44039","Ascospores","8-12 x 2,5-4","8-12","2.5-4",NA,10,3.25
"Ascospores (32-)34-40(-44) x (13.5-)14.5-17(-18) µm,","Dictyoporthe acerophila_272122","Ascospores","(32-)34-40(-44) x (13.5-)14.5-17(-18)","34-40","14.5-17",NA,37,15.75
"Ascospores at first hyaline, becoming brown, ellipsoid, 2-celled, constricted in the middle, upper cell broader than the lower; discharged ascospores usually pale yellowish-brown to dark brown, 13-16 x 5-6,5 µm.","Didymella arachidicola_241446","Ascospores","13-16 x 5-6,5","13-16","5-6.5",NA,14.5,5.75
"ascospores usually pale yellowish-brown to dark brown, 13-16 x 5-6,5 µm.","Didymella arachidicola_241446","ascospores","13-16 x 5-6,5","13-16","5-6.5",NA,14.5,5.75
"Ascospores hyaline to pale brown, obovate, 1-septate, straight or inaequilateral, 22-26 x 6-7,5 µm.
Hosts:","Didymella trifoliorum_272151","Ascospores","22-26 x 6-7,5","22-26","6-7.5",NA,24,6.75
"Ascospores hyaline, obovate, straight, or inequilateral, 22-27 x 67.5 µm.","Didymella trifoliorum_272151","Ascospores","22-27 x 67.5","22-27","67.5",NA,24.5,67.5
"Ascospores at first hyaline, becoming brown, ellipsoid, 2-celled, constricted in the middle, upper cell broader than the lower; discharged ascospores usually pale yellowish-brown to dark brown, 13-16 x 5-6,5 µm.","Didymosphaeria arachidicola_161935","Ascospores","13-16 x 5-6,5","13-16","5-6.5",NA,14.5,5.75
"ascospores usually pale yellowish-brown to dark brown, 13-16 x 5-6,5 µm.","Didymosphaeria arachidicola_161935","ascospores","13-16 x 5-6,5","13-16","5-6.5",NA,14.5,5.75
"Ascospores subhyaline, ellipsoidal to broadly ellipsoidal, often unilaterally flattened, when in ascus with two droplets, 4-6 x 2.5-4.0 µm,","Dipodascus australiensis_8669","Ascospores","4-6 x 2.5-4.0","4-6","2.5-4.0",NA,5,3.25
"Ascospores broadly ellipsoidal, 6-9 x 7-10 µm,","Dipodascus geotrichum_30904","Ascospores","6-9 x 7-10","6-9","7-10",NA,7.5,8.5
"Ascospores subhyaline, ellipsoidal to short-cylindrical, 8.5-11.0 x 5.0-6.5 µm,","Dipodascus magnusii_8686","Ascospores","8.5-11.0 x 5.0-6.5","8.5-11.0","5.0-6.5",NA,9.75,5.75
"Ascospores (sub)hyaline, ellipsoidal, usually with two droplets, 5.5-7.0 x 3.0-4.5 µm,","Dipodascus ovetensis_8694","Ascospores","5.5-7.0 x 3.0-4.5","5.5-7.0","3.0-4.5",NA,6.25,3.75
"Ascospores hyaline, smooth-walled, broadly ellipsoidal, 6-7 x 4-5 µm,","Dipodascus tetrasperma_8702","Ascospores","6-7 x 4-5","6-7","4-5",NA,6.5,4.5
"Ascospores (20-)24.5-31.5(-33)-(7.5-)9-9.5 µm,","Dischloridium laeënse_104583","Ascospores","(20-)24.5-31.5(-33) x (7.5-)9-9.5","24.5-31.5","9-9.5",NA,28,9.25
"Ascospores fusoid to broadly ellipsoid, some flattened on one side, (23-)24-27.5(-31) x (9-)11-12.5(-13.5) µm","Discina korfii_272257","Ascospores","(23-)24-27.5(-31) x (9-)11-12.5(-13.5)","24-27.5","11-12.5",NA,25.75,11.75
"ascospores arranged uniseriate, biseriate to irregularly biseriate. Ascospores fusiform to oval, straight to slightly curved, one-septate, median to submedian, distinct constriction to no constriction at septum, 3-4 guttules, (7.5-)9-10(-12) x (2-)2.5-3(-3.5) µm","Ditopellopsis racemula_314580","ascospores","(7.5-)9-10(-12) x (2-)2.5-3(-3.5)","9-10","2.5-3",NA,9.5,2.75
"Ascospores fusiform to oval, straight to slightly curved, one-septate, median to submedian, distinct constriction to no constriction at septum, 3-4 guttules, (7.5-)9-10(-12) x (2-)2.5-3(-3.5) µm","Ditopellopsis racemula_314580","Ascospores","(7.5-)9-10(-12) x (2-)2.5-3(-3.5)","9-10","2.5-3",NA,9.5,2.75
"Ascospores biseriate in the ascus, hyaline, elliptic-cylindric or slightly clavate, 1-septate rather below themiddle, slightly constricted at the septum, 16-26 x 4,5-7 µm.
Hosts:","Dothiora ribesia_415280","Ascospores","16-26 x 4,5-7","16-26","4.5-7",NA,21,5.75
"ascospores seldom observed outside the asci, but appearing lenticular, smooth, heavy walled with only a trace of an equatorial furrow and no crests, 5.5 to 6.5 µm","Edyuillia athecia_29695","ascospores","6.5","6.5",NA,NA,6.5,6.5
"Ascospores ellipsoid to somewhat variable in shape, shorter and broader when immature, guttulate, smooth, hyaline, one-celled, uniseriate, 20-25 x 9-10.5 µm","Elliottinia kerneri_213989","Ascospores","20-25 x 9-10.5","20-25","9-10.5",NA,22.5,9.75
"Ascospores cylindrical, hyaline to pale brown, 1-septate, smooth, often with a granular interior, 130-165 x 9-12 µm,","Elytroderma torres-juanii_179820","Ascospores","130-165 x 9-12","130-165","9-12",NA,147.5,10.5
"ascospores bright purple-red, lenticular, smooth walled, with two pleated sinuous and entire equatorial crests about 1 µm","Emericella aurantiobrunnea_115246","ascospores","1","1",NA,NA,1,1
"ascospores is easily visible, borne singly in conspicu­ous tufts of mycelium (Fig. 110A) that appear coarse and frosty white from fine crystalline deposits when viewed dry under low magnifications, loosely surrounded by globose to elliptical hülle cells that range from 10 to 20 µm","Emericella fruticulosa_9401","ascospores","20","20",NA,NA,20,20
"ascospores (Fig. 110D) purple-red, lenticular, convex surfaces smooth, with two conspicuously pleated equatorial crests 1.0 µm","Emericella fruticulosa_9401","ascospores","1.0","1.0",NA,NA,1,1
"ascospores after 3 to 5 weeks; asci subglobose to oval, commonly 11 to 13 by 10 to 12 µm,","Emericella heterothallica_9406","ascospores","12","12",NA,NA,12,12
"ascospores (Fig. 108-D, E) lenticular, in orange-brown shades with convex surfaces smooth; spore bodies about 4.0 to 4.5 by 3.5 to 4.0 µm","Emericella heterothallica_9406","ascospores","4.0","4.0",NA,NA,4,4
"Ascospores one-celled, red-purple, lenticular with two low crests, valves smooth-walled, 6-7 x 4.5-5.2 µm.","Emericella purpurea_9449","Ascospores","6-7 x 4.5-5.2","6-7","4.5-5.2",NA,6.5,4.85
"ascospores (Fig. 116F) of bivalve construction, lenticular, purple-red; equatorial crests lacking but convex surfaces bearing many simple or anastomosing bar-or bandlike ridges arranged in more or less concentric rings or in an irregular fashion, 5.0 to 6.0 µm","Emericella striata_9468","ascospores","6.0","6.0",NA,NA,6,6
"ascospores (Fig. 116E) in deep violet-blue shades, lenticular, with two very low equatorial crests and convex surfaces echinulate, with roughenings evenly distributed, 5.5 to 6.5 µm","Emericella violacea_9499","ascospores","6.5","6.5",NA,NA,6.5,6.5
"ascospores as described above.
Colonies on hay infusion agar thin, spreading, attaining a diameter of 6.5 to 7.0 cm. in 10 days to 2 weeks, with. vegetative mycelium largely submerged and with cleistothecia abundant but not forming a continuous layer. Conidial structures scattered, small and commonly fractional, not affecting the colony appearance; conidiophores arising primarily from aerial hyphae, smooth walled, very short, 30 to 50 µm","Emericella violacea_9499","ascospores","50","50",NA,NA,50,50
"hyphae.
Ascospores globose, smooth-walled, appearing finely warted under TEM (2001), 1.5-2.0 µm","Emmonsiella capsulata_12974","hyphae.
Ascospores","(2001)1.5-2.0","1.5-2.0",NA,NA,1.75,1.75
"Ascospores hyaline, globose, 1,5-2 µm","Emmonsiella capsulata_12974","Ascospores","1,5-2","1.5-2",NA,NA,1.75,1.75
"Ascospores broadly ellipsoidal, 6-9 x 7-10 µm,","Endomyces geotrichum_30905","Ascospores","6-9 x 7-10","6-9","7-10",NA,7.5,8.5
"Ascospores hyaline, smooth-walled, broadly ellipsoidal, 6-7 x 4-5 µm,","Endomyces tetrasperma_8703","Ascospores","6-7 x 4-5","6-7","4-5",NA,6.5,4.5
"Ascospores 3.0-3.8 x 2.5-3.0 µm,","Eupenicillium lineolatum_34640","Ascospores","3.0-3.8 x 2.5-3.0","3.0-3.8","2.5-3.0",NA,3.4,2.75
"Ascospores 2.5-3.0 x 1.8-2.5 µm,","Eupenicillium meloforme_34642","Ascospores","2.5-3.0 x 1.8-2.5","2.5-3.0","1.8-2.5",NA,2.75,2.15
"Ascospores lenticular, 3.7-4.5 x 2.5-3.0 µm,","Eupenicillium osmophilum_9926","Ascospores","3.7-4.5 x 2.5-3.0","3.7-4.5","2.5-3.0",NA,4.1,2.75
"ascospores elliptical, conspicuously echinulate over the entire surface (fig. 148D), usually 4.0 to 4.5 µm","Eupenicillium vermiculatum_115249","ascospores","4.5","4.5",NA,NA,4.5,4.5
"ascospores seldom observed outside the asci, but appearing lenticular, smooth, heavy walled with only a trace of an equatorial furrow and no crests, 5.5 to 6.5 µm","Eurotium athecium_10007","ascospores","6.5","6.5",NA,NA,6.5,6.5
"ascospores are nearly matured; ascospores (Fig. 39D) with central bodies 4.5 to 5.5 µm","Eurotium cristatum_10021","ascospores","5.5","5.5",NA,NA,5.5,5.5
"ascospores (Fig. 39D) with central bodies 4.5 to 5.5 µm","Eurotium cristatum_10021","ascospores","5.5","5.5",NA,NA,5.5,5.5
"ascospores lenticular, roughened, with broad and prominent furrow flanked by low acute and irregular ridges, mostly 4.8 to 5.2 µm","Eurotium montevidense_10069","ascospores","5.2","5.2",NA,NA,5.2,5.2
"ascospores lenticular, mostly 7.5 to 8.5 by 5.2 to 5.6 µm","Eurotium niveoglaucum_10072","ascospores","5.6","5.6",NA,NA,5.6,5.6
"ascospores lenticular, 4.6 to 5.2 µm","Eurotium pseudoglaucum_10077","ascospores","5.2","5.2",NA,NA,5.2,5.2
"Ascospores oblate, hyaline, smooth to finely roughened with one furrow, 6.0-7.5 x 4.2-5.5 µm.","Eurotium xerophilum_10108","Ascospores","6.0-7.5 x 4.2-5.5","6.0-7.5","4.2-5.5",NA,6.75,4.85
"Ascospores hyaline, fusoid, straight to curved, (2-) 3 (-6)-septate, not or slightly constricted at the septa, surrounded by a mucilaginous sheath which may extend beyond either end after discharge, 47-80 x 12-20 µm.","Exserohilum holmii_183591","Ascospores","47-80 x 12-20","47-80","12-20",NA,63.5,16
"Ascospores 10-12 (-14.5) x 8-10 (-11) µm,","Farrowia seminuda_10277","Ascospores","10-12 (-14.5) x 8-10 (-11)","10-12","8-10",NA,11,9
"Ascospores one-celled, brownish, broadly ellipsoidal, thick-and smooth-walled, 5-6 x 4-5 µm.","Gabarnaudia humicola_25907","Ascospores","5-6 x 4-5","5-6","4-5",NA,5.5,4.5
"Ascospores broadly ellipsoidal, 6-9 x 7-10 µm,","Galactomyces geotrichum_30906","Ascospores","6-9 x 7-10","6-9","7-10",NA,7.5,8.5
"Ascospores broadly ellipsoidal, 6-7 x 5-6 µm,","Galactomyces reessii_8699","Ascospores","6-7 x 5-6","6-7","5-6",NA,6.5,5.5
"ascospores measure 24-34 x 18-24 µm","Gelasinospora reticulata_11337","ascospores","24-34 x 18-24","24-34","18-24",NA,29,21
