"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"chlamydospores in and on the substrate, usually few in number; zygospores [CBS 195.68 (+) x CBS 108.16 (-), on whey agar at 25°C] globose to slightly compressed, up to 100 µm","Mucor circinelloides_58323_14981","chlamydospores","100",100,NA,NA
"Chlamydospores occasional or sometimes abundant, 35-40 (-60) µm","Phytophthora cactorum var. arecae_305592_15659","Chlamydospores","35-40 (-60)",40,NA,NA
"Chlamydospores occasional or sometimes abundant, 35-40 (-60) µm","Phytophthora arecae_21551_15659","Chlamydospores","35-40 (-60)",40,NA,NA
"Chlamydospores sparse, spherical, 10-12 µm","Fusisporium incarnatum_339100_11761","Chlamydospores","10-12",11,NA,NA
"Chlamydospores globose to elliptical, up to 11 µm","Verticillium albo-atrum_28870_38301","Chlamydospores","11",11,NA,NA
"Chlamydospores formed by some strains under certain conditions, up to 55  µm","Phytophthora cactorum_21566_13945","Chlamydospores","55",55,NA,NA
"chlamydospores but elongated, 27-42 x 6.5-7.5 µm","Clavaria acris_71470_2195","chlamydospores","27-42 x 6.5-7.5",34.5,7,NA
"Chlamydospores intercalary, solitary, in chains or knots, globose, 7-9 µm","Fusarium equiseti_10631_14893","Chlamydospores","7-9",8,NA,NA
"Chlamydospores form abundantly in culture and are globose, light brown, 12-20 µm","Sphaerostilbe repens_30842_14355","Chlamydospores","12-20",16,NA,NA
"Chlamydospores abundant, hyaline to brown, spherical, 6-9 µm","Fusarium lichenicola_91525_11724","Chlamydospores","6-9",7.5,NA,NA
"chlamydospores globose, 30-45(-60) µm","Rhopalomyces elegans_49492_40377","chlamydospores","30-45(-60)",45,NA,NA
"Chlamydospores sparsely produced, singly or in short chains, elongate, hyaline, 8-16 µm","Mucor elegans_58412_13834","Chlamydospores","8-16",12,NA,NA
"chlamydospores numerous, terminal and intercalary, with fairly thick walk and contents staining deeply in phloxine, 10.5-15.0 x 6.0-9.0 µm.","Boletus officinalis_61297_680","chlamydospores","10.5-15.0 x 6.0-9.0",12.75,7.5,NA
"chlamydospores numerous in most isolates, intercalary and terminal, thin-walled, the contents staining in phloxine, often granular, 6.3-11.9 x 4.9-8.4 µm","Boletus sanguineus_74331_797","chlamydospores","6.3-11.9 x 4.9-8.4",9.1,6.65,NA
"chlamydospores fairly common, slightly thick-walled, terminal as well as intercalary, 5.1-13.5 x 4.9-9.8 µm.","Boletus sanguineus_74331_7319","chlamydospores","5.1-13.5 x 4.9-9.8",9.3,7.35,NA
"chlamydospores numerous, thin-walled, terminal and intercalary, long and cylindric or broadly ovoid, 7.5-15.0 x 4.5 6.0 µm.","Trametes suaveolens_27449_779","chlamydospores","7.5-15.0 x 4.5 6.0",11.25,NA,NA
"Chlamydospores in long chains, brown to dark brown, each element subglobose, 8-11 µm","Depazea prunicola_414541_13959","Chlamydospores","8-11",9.5,NA,NA
"chlamydospores slightly thick-walled, intercalary, oval to cylindrical, 20.1-24.6 x 6.1-10.7 µm.","Trametes cubensis_72689_7403","chlamydospores","20.1-24.6 x 6.1-10.7",22.35,8.4,NA
"chlamydospores numerous, terminal and intercalary, with fairly thick walk and contents staining deeply in phloxine, 10.5-15.0 x 6.0-9.0 µm.","Polyporus officinalis_22461_680","chlamydospores","10.5-15.0 x 6.0-9.0",12.75,7.5,NA
"chlamydospores numerous in older cultures, terminal or intercalary, with walls slightly thickened, 6.0-13.5 x 4.5-9.0 µm.","Trametes cinnabarina_23275_716","chlamydospores","6.0-13.5 x 4.5-9.0",9.75,6.75,NA
"chlamydospores rare to fairly numerous, usually intercalary, rarely terminal, thin-walled, the contents staining in phloxine, 7.2-13.5 x 5.2-9.8 µm","Trametes cinnabarina_23275_793","chlamydospores","7.2-13.5 x 5.2-9.8",10.35,7.5,NA
"Chlamydospores typically not forming, intercalary, minute, (1.2-)1.5-2.5(-2.7) µm","Sphaeria semiorbis_235874_17725","Chlamydospores","(1.2-)1.5-2.5(-2.7)",2,NA,NA
"chlamydospores hyaline, slightly thick-walled cylindric to elliptical, intercalary, 10.7-12.3 x 3.0-4.6 µm.","Trametes cingulata_27399_7401","chlamydospores","10.7-12.3 x 3.0-4.6",11.5,3.8,NA
"chlamydospores fairly abundant, mostly intercalary, in the younger parts of the mat deeply staining and long spindle-shaped with medium walls, smaller and more abundant in the older areas, ovoid to spherical, with thick (to 2.5 µm)","Poria bombycina_22582_7545","chlamydospores","2.5",2.5,NA,NA
"chlamydospores numerous (older mycelium consisting mostly of chlamydospores), thick-walled, terminal and intercalary both, usually globose to subglobose, 4.3-9.8 µm","Boletus biennis_72639_7293","chlamydospores","4.3-9.8",7.05,NA,NA
"Chlamydospores present in context. hyaline, smooth, subglobose, 7-10 µm","Boletus biennis_72639_43855","Chlamydospores","7-10",8.5,NA,NA
"Chlamydospores globose to limoniform, 10-18 x 7-14(-18) µm,","Merulius tremellosus_15252_1777","Chlamydospores","10-18 x 7-14(-18)",14,14,NA
"Chlamydospores thin-walled, globose to oval, 10-13 x 7-10 arising from inflated hyphal segments, up to 10 µm","Merulius tremellosus_15252_13337","Chlamydospores","10",10,NA,NA
"chlamydospores fairly numerous in some isoïates, rare or apparently lacking in others, terminal and intercalary, witli walls slightly thickened, 6.0-15.0 x 4.5-7.5 µm.","Agaricus alneus_157322_771","chlamydospores","6.0-15.0 x 4.5-7.5",10.5,6,NA
"Chlamydospores cylindrical to doliform, 8-16 x 4-8(-12) µm,","Agaricus alneus_157322_1795","Chlamydospores","8-16 x 4-8(-12)",12,8,NA
"chlamydospores rare. Submerged mycelium: (a) hyphae as in advancing zone; (b) chlamydospores numerous, thick-walled, intercalary and terminal, 13.419.5 x 6.3-11.9 µm.","Trametes ostreiformis_87051_7315","chlamydospores","13.419.5 x 6.3-11.9",NA,9.1,NA
"chlamydospores numerous, thick-walled, intercalary and terminal, 13.419.5 x 6.3-11.9 µm.","Trametes ostreiformis_87051_7315","chlamydospores","13.419.5 x 6.3-11.9",NA,9.1,NA
"chlamydospores very abundant, formed in the aerial and substrate hyphae, thick-walled (1-4 µm),","Amylomyces rouxii_1258_249","chlamydospores","(1-4",2.5,NA,NA
"chlamydospores numerous, intercalary and terminal, thin-walled, 6.0-13.5 x 6.0-9.0 µm.","Polyporus obtusus_26031_738","chlamydospores","6.0-13.5 x 6.0-9.0",9.75,7.5,NA
"chlamydospores fairly common, slightly thick-walled, intercalary and terminal, 7.3-12.8 x 6-12.2 µm.","Polyporus obtusus_26031_7314","chlamydospores","7.3-12.8 x 6-12.2",10.05,9.1,NA
"chlamydospores numerous, ovoid to ellipsoid or elongate, intercalary or terminal, with thin walls and contents staining deeply in phloxine, 10.5-18.0(-28.0) x 6.0-10.5 µm.","Trametes trabea_72878_700","chlamydospores","10.5-18.0(-28.0) x 6.0-10.5",18,8.25,NA
"Chlamydospores globose to limoniform, 8-15 x 6-12(-15) µm,","Stereum bicolor_14087_1713","Chlamydospores","8-15 x 6-12(-15)",11.5,12,NA
"chlamydospores rare. Submerged mycelium: (a) hyphae as in advancing zone; (b) chlamydospores numerous, thick-walled, intercalary and terminal, 13.419.5 x 6.3-11.9 µm.","Polyporus ostreiformis_22463_7315","chlamydospores","13.419.5 x 6.3-11.9",NA,9.1,NA
"chlamydospores numerous, thick-walled, intercalary and terminal, 13.419.5 x 6.3-11.9 µm.","Polyporus ostreiformis_22463_7315","chlamydospores","13.419.5 x 6.3-11.9",NA,9.1,NA
"Chlamydospores arising from swollen parts of the hyphae, thick-walled, ellipsoid or oblong, often with a slightly flattened or truncated end, yellow in masses, negative in Melzer's reagent, 5-10 x 3.5-7 µm.","Polyporus ptychogaster_75345_44468","Chlamydospores","5-10 x 3.5-7",7.5,5.25,NA
"Chlamydospores globose to limoniform, 9-16 µm","Phlebia centrifuga_73247_1766","Chlamydospores","9-16",12.5,NA,NA
"chlamydospores numerous in older cultures, terminal or intercalary, with walls slightly thickened, 6.0-13.5 x 4.5-9.0 µm.","Boletus cinnabarinus_72663_716","chlamydospores","6.0-13.5 x 4.5-9.0",9.75,6.75,NA
"chlamydospores rare to fairly numerous, usually intercalary, rarely terminal, thin-walled, the contents staining in phloxine, 7.2-13.5 x 5.2-9.8 µm","Boletus cinnabarinus_72663_793","chlamydospores","7.2-13.5 x 5.2-9.8",10.35,7.5,NA
"chlamydospores but which remain thin-walled and eventually become empty and collapsed; (b) fiber hyphae rare except in fruit bodies, with walls thick and refractive, lumina narrow or apparently lacking, rarely branched, aseptate, 1.5-3.0 µm","Boletus betulinus_72637_713","chlamydospores","1.5-3.0",2.25,NA,NA
"Chlamydospores globose to limoniform 10-20 x 7-12 µm,","Coniophora sordulenta_77512_1642","Chlamydospores","10-20 x 7-12",15,9.5,NA
"Chlamydospores subglobose, pyriform, ellipsoid, sometimes truncate, intercalary or terminal, 8-15 x 4-6 µm,","Polyporus pelliculosus_74380_4411","Chlamydospores","8-15 x 4-6",11.5,5,NA
"chlamydospores hyaline to yellow, terminal to intercalary, thin to slightly thick-walled, round to elliptical, 6.1-7.7 µm","Polyporus pectinatus_71252_7388","chlamydospores","6.1-7.7",6.9,NA,NA
"Chlamydospores form sparsely as single globose cells 6-11 µm","Gibberella pulicaris_10962_14347","Chlamydospores","6-11",8.5,NA,NA
"Chlamydospores globose, 8-10 µm","Fusidium sulphureum_118057_14896","Chlamydospores","8-10",9,NA,NA
"Chlamydospores usually present, especially in old cultures, singly or in short chains, mostly brown or dark brown, smooth-walled to slightly roughened, globose, subglobose to pyriform, thick-walled, 4.0-8.0 µm,","Penicillium variotii_359606_8138","Chlamydospores","4.0-8.0",6,NA,NA
"Chlamydospores usually present, singly or in short chains, brown, subspherical to pyriform, 4-8 µm","Penicillium variotii_359606_11814","Chlamydospores","4-8",6,NA,NA
"chlamydospores numerous, usually terminal but occasionally intercalary, contents hyaline to golden brown, walls at first thin, finally fairly thick, globose to subglobose, 9.0-12.0 x 9.0-10.5 µm.","Stereum abietinum_6164_772","chlamydospores","9.0-12.0 x 9.0-10.5",10.5,9.75,NA
"Chlamydospores (Fig. 18a) obovate to obpyriform, 14-18 x 8-12 µm,","Stereum abietinum_6164_1606","Chlamydospores","14-18 x 8-12",16,10,NA
"chlamydospores fairly numerous in some isolates, usually found lying free in preparations for microscopie examination, thin-walled, 4.5-7.5 x 2.2-4.5 µm.","Polystictus versicolor_27459_752","chlamydospores","4.5-7.5 x 2.2-4.5",6,3.35,NA
"chlamydospores rarely formed in one or two isolates, hyaline, slightly thick-walled, terminal and intercalary, round to globose, 8-12.5 x 7-10.5 µm;","Trametes caryophylli_71021_7373","chlamydospores","8-12.5 x 7-10.5",10.25,8.75,NA
"chlamydospores globuleuses á  légèrement piriformes, subhyalines á  jaune clair quand elles ne sont pas encore développées, á  brun foncé á  maturité. D'un diamètre de (8-) 10-12 (-13,5) µm,","Xanthochrous rickii_73004_5267","chlamydospores","(8-) 10-12 (-13,5)",11,NA,NA
"chlamydospores décrites plus haut nous semblent ne provenir que des protubérances latérales, celles-ci semblent être le résultat de protubérances intercalaires, ou terminales des hyphes conidifères qui, après cloisonnement, se désagrègent en chlamydospores telles des arthroconidies. A maturité, ces chlamydospores ont une paroi d'environ 2,5 µm","Xanthochrous rickii_73004_5267","chlamydospores","2,5",2.5,NA,NA
"chlamydospores telles des arthroconidies. A maturité, ces chlamydospores ont une paroi d'environ 2,5 µm","Xanthochrous rickii_73004_5267","chlamydospores","2,5",2.5,NA,NA
"chlamydospores ont une paroi d'environ 2,5 µm","Xanthochrous rickii_73004_5267","chlamydospores","2,5",2.5,NA,NA
"chlamydospores (sub)globuleuses de 8-13 µm","Xanthochrous rickii_73004_5267","chlamydospores","8-13",10.5,NA,NA
"chlamydospores avec un ou deux appendices hyphoides. Le contexte compact est également zoné, mais plus clair que celui d' A 1085. Le carpophore est presqu'entièrement recouvert d'une légère couche d'un beige clair (nouvelle poussée d'hyphes après la récolte ? ), composée d'hyphes hyalines á  subhyalines, de 4-5 µm","Xanthochrous rickii_73004_5267","chlamydospores","4-5",4.5,NA,NA
"Chlamydospores globose, 8-10 µm","Corticium chrysocreas_76352_1767","Chlamydospores","8-10",9,NA,NA
"chlamydospores abundant to rare, terminal on short side branches with clamp connection immediately below or at base of branch, or intercalary, globose to subglobose, with thick hyaline wall, 6-10 µm","Corticium chrysocreas_76352_43176","chlamydospores","6-10",8,NA,NA
"Chlamydospores (Fig. 17b) globose to cylindrical, 4.5-12 x 4.5-9 µm,","Hydnum septentrionale_33610_1605","Chlamydospores","4.5-12 x 4.5-9",8.25,6.75,NA
"chlamydospores rare, intercalary and terminal, thin-walled, 10.5-19.5 x 7.5-12.0 µm.","Polyporus paluster_345335_739","chlamydospores","10.5-19.5 x 7.5-12.0",15,9.75,NA
"chlamydospores as in aerial mycelium, fairly numerous; (c) broad hyphae with walls slightly thickened, nodose-septate but with clamp connections frequently distorted, contents staining deeply in phloxine, 7.5-9.0(-15.0) µm","Polyporus paluster_345335_739","chlamydospores","7.5-9.0(-15.0)",9,NA,NA
"Chlamydospores globose to subglobose, 6-12.5 x 5-9 µm,","Gloeosporium lunatum_238397_31370","Chlamydospores","6-12.5 x 5-9",9.25,7,NA
"chlamydospores may form in macroconidia and occasionally aseptate intercalary chlamydospores from the hyphae, oval to globose, 7-10 x 7 µm","Gibberella baccata_34922_14281","chlamydospores","7-10 x 7",8.5,7,NA
"chlamydospores from the hyphae, oval to globose, 7-10 x 7 µm","Gibberella baccata_34922_14281","chlamydospores","7-10 x 7",8.5,7,NA
"Chlamydospores found only in F1554, rare, terminal and intercalary, thin-walled, 9.0-13.5 x 6.0-9.0 µm).","Boletus brumalis_72650_715","Chlamydospores","9.0-13.5 x 6.0-9.0",11.25,7.5,NA
"chlamydospores rare, intercalary or terminal, slightly thick-walled, 3.6-18.3 x 2.5-9.8 µm.","Boletus brumalis_72650_7295","chlamydospores","3.6-18.3 x 2.5-9.8",10.95,6.15,NA
"chlamydospores numerous, thick-walled, intercalary and terminal, 12.0-21.0 x 6.0-16.5 µm.","Boletus borealis_72644_714","chlamydospores","12.0-21.0 x 6.0-16.5",16.5,11.25,NA
"Chlamydospores abundant, hyaline, with granular contents, ellipsoid, subglobose, globose, pear shaped or irregular, normally thick-walled, intercalary or terminal, 9.5-19.5 x 7-12.5 µm","Boletus borealis_72644_5309","Chlamydospores","9.5-19.5 x 7-12.5",14.5,9.75,NA
"Chlamydospores found only in F1554, rare, terminal and intercalary, thin-walled, 9.0-13.5 x 6.0-9.0 µm).","Leucoporus brumalis_91374_715","Chlamydospores","9.0-13.5 x 6.0-9.0",11.25,7.5,NA
"chlamydospores rare, intercalary or terminal, slightly thick-walled, 3.6-18.3 x 2.5-9.8 µm.","Leucoporus brumalis_91374_7295","chlamydospores","3.6-18.3 x 2.5-9.8",10.95,6.15,NA
"chlamydospores subsphériques ou allongées, à paroi très épaisse et très sombre, le plus souvent terminales. Croüte formée d'hyphes x 1,3-4,8 µm,","Hymenochaete rubiginosa_13196_5233","chlamydospores"," 1,3-4,8",3.05,NA,NA
"chlamydospores hyaline to yellow, terminal to intercalary, thin to slightly thick-walled, round to elliptical, 6.1-7.7 µm","Fomes pectinatus_71253_7388","chlamydospores","6.1-7.7",6.9,NA,NA
"chlamydospores numerous within I4 days, developing as vesicular intercalary cells, often in chains of 3-7, less commonly terminal, 15-20 µm","Gloeocystidium guttuliferum_76769_40531","chlamydospores","15-20",17.5,NA,NA
"chlamydospores were never observed; zygospores globose, slightly compressed between the suspensors, brownish, tuberculate, 2,53-55 µm","Cunninghamella elegans_7234_280","chlamydospores","2,53-55",28.765,NA,NA
"Chlamydospores 33-40 x 30-39 µm,","Endogone microcarpa_120683_40385","Chlamydospores","33-40 x 30-39",36.5,34.5,NA
"chlamydospores rare to fairly numerous, walls relatively thick and not stained in phloxine, contents deeply stained, globose to broadly ovoid, 10.5-16.5 x 7.5-13.5 µm.","Agaricus lepideus_70346_696","chlamydospores","10.5-16.5 x 7.5-13.5",13.5,10.5,NA
"Chlamydospores 148-222 x 136-171 µm,","Endogone macrocarpa_120682_40386","Chlamydospores","148-222 x 136-171",185,153.5,NA
"chlamydospores (YMoA and YMA) terminally or intercalarily, catenate or single, inflated, subglobose, cylindrical, somewhat thick-walled, 5.0-20.0(-40.0) x 3.5-9.0 µm,","Protomyces calendulae_119866_18668","chlamydospores","5.0-20.0(-40.0) x 3.5-9.0",20,6.25,NA
"chlamydospores numerous, thin-walled, terminal and intercalary, long and cylindric or broadly ovoid, 7.5-15.0 x 4.5 6.0 µm.","Boletus suaveolens_77822_779","chlamydospores","7.5-15.0 x 4.5 6.0",11.25,NA,NA
"chlamydospores numerous in most isolates, intercalary and terminal, thin-walled, the contents staining in phloxine, often granular, 6.3-11.9 x 4.9-8.4 µm","Polystictus sanguineus_36298_797","chlamydospores","6.3-11.9 x 4.9-8.4",9.1,6.65,NA
"chlamydospores fairly common, slightly thick-walled, terminal as well as intercalary, 5.1-13.5 x 4.9-9.8 µm.","Polystictus sanguineus_36298_7319","chlamydospores","5.1-13.5 x 4.9-9.8",9.3,7.35,NA
"chlamydospores numerous, broadly ovoid, with thick walls, 12.0-18.0 µm","Agaricus labyrinthiformis_82871_664","chlamydospores","12.0-18.0",15,NA,NA
"Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Absidia ramosa_97_13936","Chlamydospores",". 30-38",34,NA,NA
"Chlamydospores not seen; giant cells abundant, 40-60 µm","Absidia corymbifera_29_13935","Chlamydospores","40-60",50,NA,NA
"chlamydospores mostly 12 x 10 µm,","Absidia glauca_66_322","chlamydospores","12 x 10",12,10,NA
"chlamydospores mostly 15 x 12 µm,","Absidia coerulea_21_326","chlamydospores","15 x 12",15,12,NA
"chlamydospores (YMoA and YMA) terminally or intercalarily, catenate or single, inflated, subglobose, cylindrical, somewhat thick-walled, 5.0-20.0(-40.0) x 3.5-9.0 µm,","Entyloma calendulae_30499_18668","chlamydospores","5.0-20.0(-40.0) x 3.5-9.0",20,6.25,NA
"Chlamydospores globose to limoniform, 7-12(-18) x 7-18 µm,","Hydnum pulcherrimum_33607_1643","Chlamydospores","7-12(-18) x 7-18",12,12.5,NA
"chlamydospores globose, 90-160 µm","Endogone nuda_240741_47145","chlamydospores","90-160",125,NA,NA
"chlamydospores mostly 12 x 10 µm,","Absidia septata_31173_323","chlamydospores","12 x 10",12,10,NA
"chlamydospores fairly common, thick-walled, intercalary and terminal, 4.9-12.2 x 4.9-5.8 µm.","Polystictus tomentosus_35612_7327","chlamydospores","4.9-12.2 x 4.9-5.8",8.55,5.35,NA
"Chlamydospores with a diameter of 5-6.5 x 4.5-5 µm","Lycoperdon coronatum_349436_36626","Chlamydospores","5-6.5 x 4.5-5",5.75,4.75,NA
"Chlamydospores globose to oblong or limoniform, 9-12 x 9-11 µm,","Veluticeps berkeleyi_28725_1833","Chlamydospores","9-12 x 9-11",10.5,10,NA
"chlamydospores present, 6-8x9-11 µm,","Hericium alpestre_42478_3542","chlamydospores","6-8x9-11",7,10,NA
"chlamydospores not seen; zygospores usually 40-75 µm","Absidia spinosa_46500_7569","chlamydospores","40-75",57.5,NA,NA
"Chlamydospores  limoniform or obovate to globose, 8-13(-15) x (6-)8-10(-13) µm,","Corticium vellereum_13387_1704","Chlamydospores","8-13(-15) x (6-)8-10(-13)",13,9,NA
"Chlamydospores more or less ovoid, 8-10 x 6-8 µm,","Corticium vellereum_13387_49976","Chlamydospores","8-10 x 6-8",9,7,NA
"Chlamydospores often produced in culture, thick-walled, 5-12 µm","Pyricularia oryzae_23381_13994","Chlamydospores","5-12",8.5,NA,NA
"Chlamydospores 4.6-6.3 x 52-15.6 µm","Fomes lateritius_85839_4486","Chlamydospores","4.6-6.3 x 52-15.6",5.45,33.8,NA
"Chlamydospores observed, mostly measuring 4.5-6 x 4-4.5 µm","Lycoperdon fenestratum_161729_36613","Chlamydospores","4.5-6 x 4-4.5",5.25,4.25,NA
"chlamydospores fairly common, thick-walled, intercalary and terminal, 4.9-12.2 x 4.9-5.8 µm.","Mucronoporus tomentosus_72874_7327","chlamydospores","4.9-12.2 x 4.9-5.8",8.55,5.35,NA
"Chlamydospores formed both terminal and intercalary, 7-13 µm","Fusarium vasinfectum_11084_13800","Chlamydospores","7-13",10,NA,NA
"Chlamydospores abundantly produced on hyaline mycelium after 1-2 weeks, usually singly orseparated by hyaline cells, occasionally in chains of 2-5, olivaceous brown to fuscous brown, globose or subglobose but oftenflattened on one or two faces, 5,5-8 (-10) µm","Verticillium nigrescens_29013_14073","Chlamydospores","5,5-8 (-10)",8,NA,NA
"Chlamydospores pigmented (grey-brown), smooth-walled, single or in short chains, 4.5-6.5(-7.5) x 2.5-4(-5) µm.","Verticillium nigrescens_29013_20140","Chlamydospores","4.5-6.5(-7.5) x 2.5-4(-5)",6.5,4,NA
"Chlamydospores abundantly produced on +- hyaline mycelium after 1-2 weeks, singly or in chainsof 2-6 (-7), fuscous brown to dark brown, globose or subglobose, 8,5-17 µm","Verticillium nubilum_29027_14074","Chlamydospores","8,5-17",12.75,NA,NA
"Chlamydospores sometimes formed, terminal and intercalary, subglobose to globose, (7-)10-13(-16) µm","Pachybasium hamatum_18162_17722","Chlamydospores","(7-)10-13(-16)",11.5,NA,NA
"chlamydospores terminal or intercalary, elliptic to globose and irregularly shaped, 5-12 x 6-20 µm,","Pholiota cylindracea_31741_17","chlamydospores","5-12 x 6-20",8.5,13,NA
"Chlamydospores dark brown, thick-walled, in groups, 7-18 µm","Mycosphaerella arachidicola_241445_15518","Chlamydospores","7-18",12.5,NA,NA
"Chlamydospores observed, mostly measuring 4.5-6 x 4-4.5 µm","Lycoperdon fornicatum_241861_36613","Chlamydospores","4.5-6 x 4-4.5",5.25,4.25,NA
"chlamydospores terminal or intercalary, with medium thick walls, ellipsoid to subglobose, 13-16.5 x 10-14 µm","Boletus soloniensis_78168_43179","chlamydospores","13-16.5 x 10-14",14.75,12,NA
"chlamydospores slightly thick-walled, intercalary, oval to cylindrical, 20.1-24.6 x 6.1-10.7 µm.","Polyporus cubensis_72688_7403","chlamydospores","20.1-24.6 x 6.1-10.7",22.35,8.4,NA
"chlamydospores numerous in most isolates, intercalary and terminal, thin-walled, the contents staining in phloxine, often granular, 6.3-11.9 x 4.9-8.4 µm","Boletus nitens_64593_797","chlamydospores","6.3-11.9 x 4.9-8.4",9.1,6.65,NA
"chlamydospores fairly common, slightly thick-walled, terminal as well as intercalary, 5.1-13.5 x 4.9-9.8 µm.","Boletus nitens_64593_7319","chlamydospores","5.1-13.5 x 4.9-9.8",9.3,7.35,NA
"chlamydospores ellipsoid to subglobose, 8-12 x 6-10 µm;","Sparassis radicata_85714_23093","chlamydospores","8-12 x 6-10",10,8,NA
"chlamydospores fairly numerous, with walls slightly thickened, terminal and intercalary, 12.0-19.5 x 7.5-13.5 µm.","Polyporus sulphureus_13995_434","chlamydospores","12.0-19.5 x 7.5-13.5",15.75,10.5,NA
"chlamydospores numerous with walls slightly thickened, terminal and intercalary, 5.1-11.0 x 4.9-7.3 µm.","Polyporus sulphureus_13995_7325","chlamydospores","5.1-11.0 x 4.9-7.3",8.05,6.1,NA
"chlamydospores arising along clamped generativess, spherical to ellipsoid, with dense contents, 8-18 x 5-11 µm,","Fomes oerstedii_85869_3777","chlamydospores","8-18 x 5-11",13,8,NA
"chlamydospores as those described above. Yellow farinaceous mycelium: with same elements as former, but the ""cuticular cells"" have golden, thick walls ; generatives with sclerotized golden walls are also present, which stain well with phloxine, and bear short branches, 1-4 µm","Fomes oerstedii_85869_3777","chlamydospores","1-4",2.5,NA,NA
"Chlamydospores not seen; giant cells abundant, 40-60 µm","Mucor corymbifer_35523_13935","Chlamydospores","40-60",50,NA,NA
"chlamydospores hyaline, slightly thick-walled, terminal and intercalary, oval, 6.1-10.7 x 4.2-6.1 µm","Poria megalopora_66427_7385","chlamydospores","6.1-10.7 x 4.2-6.1",8.4,5.15,NA
"Chlamydospores (Fig. 48a) limoniform to globose, occasionally doliform to cylindrical, (7.5-)12-15(-22) x (6-)9-12(-18) µm,","Gloeocystidium analogum_73161_1698","Chlamydospores","(7.5-)12-15(-22) x (6-)9-12(-18)",13.5,10.5,NA
"chlamydospores fairly numerous in some isolates, usually found lying free in preparations for microscopie examination, thin-walled, 4.5-7.5 x 2.2-4.5 µm.","Polyporus versicolor_36295_752","chlamydospores","4.5-7.5 x 2.2-4.5",6,3.35,NA
"chlamydospores rare or apparently lacking, usually intercalary, rarely terminal, with walls slightly thickened, 10.5-19.5 x 6.0-7.5 µm.","Poria xantha_22690_770","chlamydospores","10.5-19.5 x 6.0-7.5",15,6.75,NA
"chlamydospores (Fig-10) occasionally present, 12-18 x 6-7 µm.","Poria xantha_22690_4498","chlamydospores","12-18 x 6-7",15,6.5,NA
"chlamydospores fairly numerous in some isolates, usually found lying free in preparations for microscopie examination, thin-walled, 4.5-7.5 x 2.2-4.5 µm.","Boletus suberosus_404789_752","chlamydospores","4.5-7.5 x 2.2-4.5",6,3.35,NA
"Chlamydospores present, terminal or more usually intercalary, thick-walled , (up to 3 µm),","Mucor aurantius_75539_966","Chlamydospores","3",3,NA,NA
"Chlamydospores intercalary, subglobose to ellipsoidal, 12-22 x 8-14 µm.","Mucor aurantius_75539_966","Chlamydospores","12-22 x 8-14",17,11,NA
"Chlamydospores claviform, cylindric, ellipsoid or rectangular, 7-40 x 4-6  µm,","Boletus hepaticus_72729_4406","Chlamydospores","7-40 x 4-6",23.5,5,NA
"Chlamydospores sparse, spherical, 10-12 µm","Fusarium incarnatum_46989_11761","Chlamydospores","10-12",11,NA,NA
"chlamydospores very numerous even 2-3 mm. from limit of growth, terminal or rarely intercalary, with walls slightly thickened, 7. 5-13. 5 x 6. 0-12.0 µm;","Polyporus distortus_22422_722","chlamydospores","7. 5-13. 5 x 6. 0-12.0",10.5,9,NA
"chlamydospores rare or apparently lacking, with walls slightly thickened, terminal or intercalary, 9.0-13.5 x 7.5-10.5 µm.","Polyporus montanus_3213_737","chlamydospores","9.0-13.5 x 7.5-10.5",11.25,9,NA
"Chlamydospores sometimes formed, terminal and intercalary, subglobose to globose, (7-)10-13(-16) µm","Verticillium hamatum_414957_17722","Chlamydospores","(7-)10-13(-16)",11.5,NA,NA
"chlamydospores numerous within I4 days, developing as vesicular intercalary cells, often in chains of 3-7, less commonly terminal, 15-20 µm","Peniophora guttulifera_80699_40531","chlamydospores","15-20",17.5,NA,NA
"chlamydospores hyaline, thin to slightly thick-walled, terminal, pear shaped, 10.7-12.3 µm","Poria livida_71216_7384","chlamydospores","10.7-12.3",11.5,NA,NA
"chlamydospores globose, 30-45(-60) µm","Haplotrichum elegans_381966_40377","chlamydospores","30-45(-60)",45,NA,NA
"chlamydospores (7.5-12 x 4-4.5 um versus 4.5-6 x 3.5-4.3 µm)","Corticium tulasnelloideum_73867_2302","chlamydospores","4.5-6 x 3.5-4.3",5.25,3.9,NA
"chlamydospores hyaline, thin to slightly thick-walled, oval shaped, apical or intercalary, 4.5-7.8 x 4.1-6.1 µm.","Polyporus stramineus_60814_7414","chlamydospores","4.5-7.8 x 4.1-6.1",6.15,5.1,NA
"Chlamydospores present, subglobose, 14-20 x 13-15 µm,","Peniophora eichleri_73367_1239","Chlamydospores","14-20 x 13-15",17,14,NA
"chlamydospores numerous in some isolates, rare or lacking in the remainder, usually limited to the advancing zone, especially in mycelium that is grown against wall of Petri dish remote from inoculum, terminal and intercalary, with walls thin or slightly thickened, 6.0-18.0 x 6.0-9.0 µm,","Boletus pinicola_72805_683","chlamydospores","6.0-18.0 x 6.0-9.0",12,7.5,NA
"chlamydospores as described above in a few isolates. Submerged mycelium: (a) hyphae as in advancing zone, but more frequently branched, up to 9.0 µm","Boletus pinicola_72805_683","chlamydospores","9.0",9,NA,NA
