"species","spore.length","spore.width","spore.shape2","spore.shape","spore.volume","genus","species2","family","order","class","phylum","SporeName"
"Cryptodiscus pallidus","14","4.25","3.294117647","Ellipsoid","198.6075606","Cryptodiscus","pallidus","Stictidaceae","Ostropales","Lecanoromycetes","Ascomycota","Ascospores"
"Cryptodiscus pini","11","1.75","6.285714286","Ellipsoid","26.45810063","Cryptodiscus","pini","Stictidaceae","Ostropales","Lecanoromycetes","Ascomycota","Ascospores"
"Cudonia confusa","40","2.25","17.77777778","Filiform","159.0431281","Cudonia","confusa","Cudoniaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cyathicula sp1.","24","4.5","5.333333333","Fusiform","381.7035074","Cyathicula","sp1.","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cyathicula sp2.","16.6","3.1","5.35483871","Ellipsoid","125.2914274","Cyathicula","sp2.","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Cylindrobasidium evolvens","9.25","5","1.85","Ellipsoid","181.6233253","Cylindrobasidium","evolvens","Physalacriaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Cystoderma jasonis","6.75","3.75","1.8","Fusiform","74.55146629","Cystoderma","jasonis","Agaricaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Dacrymyces adpressus","14.75","5.75","2.565217391","Cylindrical","383.016595","Dacrymyces","adpressus","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces lacrymalis","13","4.75","2.736842105","Cylindrical","230.3670988","Dacrymyces","lacrymalis","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces macnabbii","9.25","3.5","2.642857143","Cylindrical","88.99542939","Dacrymyces","macnabbii","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces microsporus","9.25","3.5","2.642857143","Cylindrical","88.99542939","Dacrymyces","microsporus","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces minor","11.75","4.25","2.764705882","Allantoid","166.6884883","Dacrymyces","minor","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces minutus","11","3.75","2.933333333","Cylindrical","121.4912784","Dacrymyces","minutus","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces ovisporus","15","11.25","1.333333333","Globose","1491.029326","Dacrymyces","ovisporus","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces sp1.","15","9","1.666666667","Cylindrical","954.2587685","Dacrymyces","sp1.","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces sp2.","8","4.2","1.904761905","Allantoid","110.8353888","Dacrymyces","sp2.","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces stillatus","15.5","5.5","2.818181818","Cylindrical","368.2535639","Dacrymyces","stillatus","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacrymyces tortus","12.5","3.75","3.333333333","Cylindrical","138.0582709","Dacrymyces","tortus","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Dacryobolus karstenii","5.25","1.35","3.888888889","Allantoid","7.514787802","Dacryobolus","karstenii","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Dacryobolus sudans","5.5","1.5","3.666666667","Allantoid","9.719302272","Dacryobolus","sudans","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Daldinia concentrica","15","8","1.875","Ellipsoid","753.9822369","Daldinia","concentrica","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Dialonectria cf episphaeria","12.5","5.25","2.380952381","Ellipsoid","270.594211","Dialonectria","episphaeria","Nectriaceae","Hypocreales","Sordariomycetes","Ascomycota","Ascospores"
"Diatrype stigma","10","2","5","Allantoid","31.41592654","Diatrype","stigma","Diatrypaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Diatrypella sp1.","5.6","1.1","5.090909091","Allantoid","5.321857955","Diatrypella","sp1.","Diatrypaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Dichostereum boreale","5.25","3.75","1.4","Ellipsoid","57.98447378","Dichostereum","boreale","Lachnocladiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ditiola peziziformis","28.5","9","3.166666667","Allantoid","1813.09166","Ditiola","peziziformis","Dacrymycetaceae","Dacrymycetales","Dacrymycetes","Basidiomycota","Basidiospores"
"Durella melanochlora","13.5","4.75","2.842105263","Ellipsoid","239.2273718","Durella","melanochlora","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Echinosphaeria canescens","35","4.5","7.777777778","Filiform","556.6509483","Echinosphaeria","canescens","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Echinosphaeria cincinnata","11","5.5","2","Fusiform","261.3412389","Echinosphaeria","cincinnata","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Elmerina caryae","5.55","2.5","2.22","Cylindrical","27.24349879","Elmerina","caryae","Exidiaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Endoxyla macrostoma","11","2.8","3.928571429","Allantoid","67.73273761","Endoxyla","macrostoma","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Endoxyla parallela","12.8","2.9","4.413793103","Allantoid","84.54654149","Endoxyla","parallela","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Endoxyla rostrata","5.25","1.75","3","Allantoid","12.62772985","Endoxyla","rostrata","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Entoloma depluens","9.75","7.25","1.344827586","Lobed","402.5042869","Entoloma","depluens","Entolomataceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Eutypa flavovirens","7","2.25","3.111111111","Allantoid","27.83254742","Eutypa","flavovirens","Diatrypaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Exidia glandulosa","13","4","3.25","Allantoid","163.362818","Exidia","glandulosa","Auriculariaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Exidia repansa","13","3","4.333333333","Allantoid","91.89158512","Exidia","repansa","Auriculariaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Exidia saccharina","12.25","3.75","3.266666667","Allantoid","135.2971055","Exidia","saccharina","Auriculariaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Exidiopsis calcea","14.5","5.75","2.52173913","Allantoid","376.5247883","Exidiopsis","calcea","Auriculariaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Exidiopsis effusa","13.75","4.5","3.055555556","Allantoid","218.6843011","Exidiopsis","effusa","Auriculariaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Flagelloscypha sp1.","7","5","1.4","Ellipsoid","137.4446786","Flagelloscypha","sp1.","Niaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Flammulaster limulatus","8","4.25","1.882352941","Cylindrical","113.4900346","Flammulaster","limulatus","Inocybeceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Flaviporus citrinellus","3.15","2.3","1.369565217","Ellipsoid","13.0874823","Flaviporus","citrinellus","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Fomes fomentarius","15","5.5","2.727272727","Cylindrical","356.3744166","Fomes","fomentarius","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Fomitopsis betulina","5.5","1.5","3.666666667","Ellipsoid","9.719302272","Fomitopsis","betulina","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Fomitopsis pinicola","7.5","4","1.875","Cylindrical","94.24777961","Fomitopsis","pinicola","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Fomitopsis rosea","5.8","2.45","2.367346939","Cylindrical","27.34324436","Fomitopsis","rosea","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Galerina hypnorum","9","5.25","1.714285714","Ellipsoid","194.8278319","Galerina","hypnorum","Hymenogastraceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Galerina marginata","9.5","5.75","1.652173913","Ellipsoid","246.6886544","Galerina","marginata","Hymenogastraceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Galerina mniophila","11","5.75","1.913043478","Fusiform","285.6394946","Galerina","mniophila","Hymenogastraceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Galerina pumila","11.75","6","1.958333333","Ellipsoid","332.2234231","Galerina","pumila","Hymenogastraceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Galerina stylifera","7","4.5","1.555555556","Ellipsoid","111.3301897","Galerina","stylifera","Hymenogastraceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Galzinia incrustans coll","5","2","2.5","Allantoid","15.70796327","Galzinia","incrustans","Corticiaceae","Corticiales","Agaricomycetes","Basidiomycota","Basidiospores"
"Ganoderma applanatum","8.35","5.65","1.477876106","Ellipsoid","209.3501385","Ganoderma","applanatum","Ganodermataceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gelatoporia dichrous","4.5","1.15","3.913043478","Allantoid","4.67410082","Gelatoporia","dichrous","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Globulicium hiemale","11.5","11.5","1","Globose","1194.492432","Globulicium","hiemale","Pterulaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloeocystidiellum convolvens","4.75","3","1.583333333","Ellipsoid","33.57577149","Gloeocystidiellum","convolvens","Stereaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloeocystidiellum leucoxanthum","15","5.5","2.727272727","Cylindrical","356.3744166","Gloeocystidiellum","leucoxanthum","Stereaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloeocystidiellum luridum","9.5","4.75","2","Ellipsoid","168.3451876","Gloeocystidiellum","luridum","Stereaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloeocystidiellum porosum","5","3","1.666666667","Ellipsoid","35.34291735","Gloeocystidiellum","porosum","Stereaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloeodontia subasperispora","4","2.25","1.777777778","Allantoid","15.90431281","Gloeodontia","subasperispora","Gloeodontiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloeophyllum sepiarium","8.9","3.2","2.78125","Cylindrical","71.57804702","Gloeophyllum","sepiarium","Gloeophyllaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloeoporus pannocinctus","3.7","0.8","4.625","Allantoid","1.859822851","Gloeoporus","pannocinctus","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloeoporus taxicola","4","1.45","2.75862069","Cylindrical","6.605198554","Gloeoporus","taxicola","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gloiothele citrina","4.5","4.5","1","Globose","71.56940764","Gloiothele","citrina","Peniophoraceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Glonium nitidum","14","2.5","5.6","Ellipsoid","68.7223393","Glonium","nitidum","Gloniaceae","Mytilinidiales","Dothideomycetes","Ascomycota","Ascospores"
"Godronia urceolus","62.5","1.5","41.66666667","Filiform","110.4466167","Godronia","urceolus","Godroniaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Gorgoniceps aridula","77.5","2.25","34.44444444","Filiform","308.1460607","Gorgoniceps","aridula","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Gorgoniceps hypothallosa","27","3","9","Filiform","190.8517537","Gorgoniceps","hypothallosa","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Gymnopilus penetrans","8","4.75","1.684210526","Ellipsoid","141.7643685","Gymnopilus","penetrans","Hymenogastraceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gymnopilus picreus","9.5","6","1.583333333","Fusiform","268.6061719","Gymnopilus","picreus","Hymenogastraceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gymnopus androsaceus","7.75","4.25","1.823529412","Ellipsoid","109.943471","Gymnopus","androsaceus","Omphalotaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gymnopus confluens","7.25","3.5","2.071428571","Ellipsoid","69.75317439","Gymnopus","confluens","Omphalotaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gymnopus dryophilus","5.5","3.25","1.692307692","Ellipsoid","45.62672455","Gymnopus","dryophilus","Omphalotaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Gyromitra infula","20.5","8.25","2.484848485","Ellipsoid","1095.851331","Gyromitra","infula","Discinaceae","Pezizales","Pezizomycetes","Ascomycota","Ascospores"
"Hamatocanthoscypha laricionis","6.15","1.65","3.727272727","Ellipsoid","13.15021597","Hamatocanthoscypha","laricionis","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hamatocanthoscypha sp nov","7.9","2.5","3.16","Ellipsoid","38.77903432","Hamatocanthoscypha","sp","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hamatocanthoscypha sp1.","6","1.8","3.333333333","Ellipsoid","15.2681403","Hamatocanthoscypha","sp1.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hamatocanthoscypha sp2.","6.9","2.2","3.136363636","Ellipsoid","26.22915706","Hamatocanthoscypha","sp2.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hamatocanthoscypha sp3.","5.9","1.5","3.933333333","Ellipsoid","10.42616062","Hamatocanthoscypha","sp3.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hamatocanthoscypha straminella","8.25","2.4","3.4375","Ellipsoid","37.32212072","Hamatocanthoscypha","straminella","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Helicobasidium sp1.","13","7","1.857142857","Ellipsoid","500.2986301","Helicobasidium","sp1.","Helicobasidiaceae","Helicobasidiales","Pucciniomycetes","Ascomycota","Ascospores"
"Helminthosphaeria aff carpathica","12","5.5","2.181818182","Ellipsoid","285.0995333","Helminthosphaeria","carpayhica","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Helminthosphaeria aff odontiae","9","5","1.8","Ellipsoid","176.7145868","Helminthosphaeria","odontiae","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Helminthosphaeria aff pilifera","11","5.25","2.095238095","Ellipsoid","238.1229057","Helminthosphaeria","pilifera","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Helminthosphaeria cf gibberosa","14","6.5","2.153846154","Ellipsoid","464.5630136","Helminthosphaeria","gibberosa","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Helminthosphaeria ludens","22","8","2.75","Ellipsoid","1105.840614","Helminthosphaeria","ludens","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Helminthosphaeria sp1.","13.5","5.5","2.454545455","Cylindrical","320.736975","Helminthosphaeria","sp1.","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Helminthosphaeriaceae sp nov.","20.4","8.9","2.292134831","Ellipsoid","1269.112326","Helminthosphaeriaceae","sp","Helminthosphaeriaceae","Trichosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Helvella macropus","23","10.5","2.19047619","Fusiform","1991.573393","Helvella","macropus","Helvellaceae","Pezizales","Pezizomycetes","Ascomycota","Ascospores"
"Hemimycena sp1.","9.5","6","1.583333333","Fusiform","268.6061719","Hemimycena","sp1.","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Henningsomyces candidus","5.15","4.5","1.144444444","Globose","81.90721097","Henningsomyces","candidus","Marasmiaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Henningsomyces pienikarva","5.15","4.5","1.144444444","Globose","81.90721097","Henningsomyces","pienikarva","Marasmiaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hericium cirrhatum","4","3","1.333333333","Ellipsoid","28.27433388","Hericium","cirrhatum","Hericiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hericium coralloides","4.25","3.25","1.307692308","Ellipsoid","35.25701443","Hericium","coralloides","Hericiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hilberina aff moseri","50","4.2","11.9047619","Cylindrical","692.7211801","Hilberina","moseri","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Hilberina aff munkii","26","4","6.5","Cylindrical","326.725636","Hilberina","munkii","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Hilberina cf caudata","47.5","4","11.875","Cylindrical","596.9026042","Hilberina","caudata","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Humaria hemisphaerica","25","11.5","2.173913043","Ellipsoid","2596.722678","Humaria","hemisphaerica","Pyronemataceae","Pezizales","Pezizomycetes","Ascomycota","Ascospores"
"Hyalopeziza millepunctata","6.75","1.9","3.552631579","Ellipsoid","19.13818975","Hyalopeziza","millepunctata","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha albohyalina","11.75","3.5","3.357142857","Ellipsoid","113.0482481","Hyaloscypha","albohyalina","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha aureliella","8.25","2.5","3.3","Ellipsoid","40.4970928","Hyaloscypha","aureliella","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha diabolica","6.1","2","3.05","Ellipsoid","19.16371519","Hyaloscypha","diabolica","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha epiporia","6.75","2.3","2.934782609","Ellipsoid","28.04460492","Hyaloscypha","epiporia","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha fuckelii","7.75","2.5","3.1","Ellipsoid","38.04272354","Hyaloscypha","fuckelii","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha intacta","11","3.5","3.142857143","Ellipsoid","105.8324025","Hyaloscypha","intacta","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha latispora","8","3.65","2.191780822","Ellipsoid","83.70773625","Hyaloscypha","latispora","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha leuconica","9.15","2.4","3.8125","Ellipsoid","41.3936248","Hyaloscypha","leuconica","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha quercicola","8.5","2.5","3.4","Ellipsoid","41.72427743","Hyaloscypha","quercicola","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha sp1. nov.","4.7","2","2.35","Ellipsoid","14.76548547","Hyaloscypha","sp1.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha spiralis","11.75","3.5","3.357142857","Ellipsoid","113.0482481","Hyaloscypha","spiralis","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyaloscypha vitreola","11.75","3.5","3.357142857","Ellipsoid","113.0482481","Hyaloscypha","vitreola","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hymenochaete fuliginosa","5.75","2","2.875","Cylindrical","18.06415776","Hymenochaete","fuliginosa","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hymenochaetopsis tabacina","5.75","2.5","2.3","Allantoid","28.2252465","Hymenochaetopsis","tabacina","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hymenoscyphus sp2.","14.5","3.5","4.142857143","Ellipsoid","139.5063488","Hymenoscyphus","sp2.","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hymenoscyphus sp3.","18","5.5","3.272727273","Ellipsoid","427.6493","Hymenoscyphus","sp3.","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hymenoscyphus vikgultorum","17.5","3","5.833333333","Fusiform","123.7002107","Hymenoscyphus","vikgultorum","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyphoderma cremeoalbum","12","5.75","2.086956522","Ellipsoid","311.6067213","Hyphoderma","cremeoalbum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphoderma definitum","12.5","3.25","3.846153846","Cylindrical","103.6971013","Hyphoderma","definitum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphoderma incrustatum","12.5","4.5","2.777777778","Cylindrical","198.8039101","Hyphoderma","incrustatum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphoderma obtusiforme","11","5.5","2","Ellipsoid","261.3412389","Hyphoderma","obtusiforme","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphoderma occidentale","13","4.75","2.736842105","Cylindrical","230.3670988","Hyphoderma","occidentale","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphoderma roseocremeum","10.5","3.5","3","Cylindrical","101.0218388","Hyphoderma","roseocremeum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphoderma setigerum","8.5","3.75","2.266666667","Ellipsoid","93.87962422","Hyphoderma","setigerum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphoderma sibiricum","8","4.5","1.777777778","Ellipsoid","127.2345025","Hyphoderma","sibiricum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphodiscus hemiamyloideus","4.75","2.6","1.826923077","Ellipsoid","25.21913503","Hyphodiscus","hemiamyloideus","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyphodiscus hymeniophilus","5","1.5","3.333333333","Ellipsoid","8.835729338","Hyphodiscus","hymeniophilus","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Hyphodontia abieticola","5.75","3.5","1.642857143","Cylindrical","55.32148313","Hyphodontia","abieticola","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphodontia alutaria","4.75","3.25","1.461538462","Ellipsoid","39.40489848","Hyphodontia","alutaria","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphodontia barba-jovis","5","4","1.25","Globose","62.83185307","Hyphodontia","barba-jovis","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphodontia curvispora","4.5","1.25","3.6","Allantoid","5.522330836","Hyphodontia","curvispora","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphodontia efibulata","7","4.25","1.647058824","Ellipsoid","99.30378028","Hyphodontia","efibulata","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphodontia pallidula","4","2.25","1.777777778","Ellipsoid","15.90431281","Hyphodontia","pallidula","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hyphodontia subalutacea","7","1.75","4","Allantoid","16.83697313","Hyphodontia","subalutacea","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypholoma fasciculare","7","4.25","1.647058824","Ellipsoid","99.30378028","Hypholoma","fasciculare","Strophariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypholoma polytrichi","8","4.5","1.777777778","Ellipsoid","127.2345025","Hypholoma","polytrichi","Strophariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypochnicium albostramineum","9","6.75","1.333333333","Ellipsoid","322.0623344","Hypochnicium","albostramineum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypochnicium bombycinum","10.5","7","1.5","Ovoid","404.0873551","Hypochnicium","bombycinum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypochnicium polonese","7.5","4.5","1.666666667","Ellipsoid","119.2823461","Hypochnicium","polonese","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypochnicium punctulatum","6","4.75","1.263157895","Ellipsoid","106.3232764","Hypochnicium","punctulatum","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypochnicium subrigescens","5.75","5.75","1","Globose","149.311554","Hypochnicium","subrigescens","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypochnicium wakefieldiae","7.25","5.75","1.260869565","Ellipsoid","188.2623941","Hypochnicium","wakefieldiae","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Hypomyces rosellus","27.5","4.5","6.111111111","Fusiform","437.3686022","Hypomyces","rosellus","Hypocreaceae","Hypocreales","Sordariomycetes","Ascomycota","Ascospores"
"Hypomyces semitranslucens","21","4.75","4.421052632","Fusiform","372.1314673","Hypomyces","semitranslucens","Hypocreaceae","Hypocreales","Sordariomycetes","Ascomycota","Ascospores"
"Hypoxylon fuscum","13.5","6.5","2.076923077","Fusiform","447.9714774","Hypoxylon","fuscum","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Hypoxylon rubiginosum","11","5","2.2","Ellipsoid","215.9844949","Hypoxylon","rubiginosum","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Hysterium pulicare","25","8","3.125","Ellipsoid","1256.637061","Hysterium","pulicare","Hysteriaceae","Hysteriales","Dothideomycetes","Ascomycota","Ascospores"
"Hysterographium fraxini","37.5","13.5","2.777777778","Muriform","5367.705573","Hysterographium","fraxini","Pleosporomycetidae","Hysteriales","Dothideomycetes","Ascomycota","Ascospores"
"Immersiella caudata","55","4.5","12.22222222","Filiform","874.7372045","Immersiella","caudata","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Inonotus obliquus","9.25","6","1.541666667","Ellipsoid","261.5375884","Inonotus","obliquus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Irpex litschaueri","5","2.1","2.380952381","Cylindrical","17.3180295","Irpex","litschaueri","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
