"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Serpula lacrymans var. himantioides","dry rot; a major destroyer of construction materials","dry_rot _a_major_destroyer_of_construction_materials","rots"
"Ascochyta forsythiae","flower bud rot, wood discoloration","flower_bud_rot wood_discoloration","rots"
"Phyllosticta forsythiae","flower bud rot, wood discoloration","flower_bud_rot wood_discoloration","rots"
"Calonectria spathiphylli","foliar,stem disease, root,crown rots","foliar stem_disease root_rot crown_rots","rots"
"Gaeumannomyces graminis","from gaeumannomyces graminis var. graminis - crown,sheath rot. take all of rice. also arkansas foot root","from_gaeumannomyces_graminis_var._graminis_-_crown sheath_rot._take_all_of_rice._also_arkansas_foot_root","rots"
"Gaeumannomyces graminis var. avenae","from gaeumannomyces graminis var. graminis - crown,sheath rot. take all of rice. also arkansas foot root","from_gaeumannomyces_graminis_var._graminis_-_crown sheath_rot._take_all_of_rice._also_arkansas_foot_root","rots"
"Gaeumannomyces graminis var. tritici","from gaeumannomyces graminis var. graminis - crown,sheath rot. take all of rice. also arkansas foot root","from_gaeumannomyces_graminis_var._graminis_-_crown sheath_rot._take_all_of_rice._also_arkansas_foot_root","rots"
"Ophiobolus graminis","from gaeumannomyces graminis var. graminis - crown,sheath rot. take all of rice. also arkansas foot root","from_gaeumannomyces_graminis_var._graminis_-_crown sheath_rot._take_all_of_rice._also_arkansas_foot_root","rots"
"Ophiobolus graminis var. avenae","from gaeumannomyces graminis var. graminis - crown,sheath rot. take all of rice. also arkansas foot root","from_gaeumannomyces_graminis_var._graminis_-_crown sheath_rot._take_all_of_rice._also_arkansas_foot_root","rots"
"Rhaphidophora graminis","from gaeumannomyces graminis var. graminis - crown,sheath rot. take all of rice. also arkansas foot root","from_gaeumannomyces_graminis_var._graminis_-_crown sheath_rot._take_all_of_rice._also_arkansas_foot_root","rots"
"Hendersonia hirta","from wojnowicia hirta - foot rot,root rot of grasses","from_wojnowicia_hirta_-_foot_rot root_rot_of_grasses","rots"
"Septoriella hirta","from wojnowicia hirta - foot rot,root rot of grasses","from_wojnowicia_hirta_-_foot_rot root_rot_of_grasses","rots"
"Wojnowicia hirta","from wojnowicia hirta - foot rot,root rot of grasses","from_wojnowicia_hirta_-_foot_rot root_rot_of_grasses","rots"
"Crinipellis roreri","frosty pod rot, 'mancha', 'helada', watery pod rot.  incorrectly referred to as moniliosis or monilia disease","frosty_pod_rot 'mancha' 'helada' watery_pod_rot.__incorrectly_referred_to_as_moniliosis_or_monilia_disease","rots"
"Monilia roreri","frosty pod rot, 'mancha', 'helada', watery pod rot.  incorrectly referred to as moniliosis or monilia disease","frosty_pod_rot 'mancha' 'helada' watery_pod_rot.__incorrectly_referred_to_as_moniliosis_or_monilia_disease","rots"
"Moniliophthora roreri","frosty pod rot, 'mancha', 'helada', watery pod rot.  incorrectly referred to as moniliosis or monilia disease","frosty_pod_rot 'mancha' 'helada' watery_pod_rot.__incorrectly_referred_to_as_moniliosis_or_monilia_disease","rots"
"Alternaria guaranitica","fruit decay","fruit_decay","rots"
"Macrosporium guaraniticum","fruit decay","fruit_decay","rots"
"Acremonium kiliense","fruit rot","fruit_rot","rots"
"Alternaria aragakii","fruit rot","fruit_rot","rots"
"Arachniotus trachyspermus","fruit rot","fruit_rot","rots"
"Arthrinium xenocordella","fruit rot","fruit_rot","rots"
"Bactridium lichenicola","fruit rot","fruit_rot","rots"
"Calonectria citri","fruit rot","fruit_rot","rots"
"Calonectria hongkongensis","fruit rot","fruit_rot","rots"
"Candelospora citri","fruit rot","fruit_rot","rots"
"Cephalosporium kiliense","fruit rot","fruit_rot","rots"
"Colletotrichum asianum","fruit rot","fruit_rot","rots"
"Colletotrichum brisbanense","fruit rot","fruit_rot","rots"
"Colletotrichum chrysophilum","fruit rot","fruit_rot","rots"
"Colletotrichum fructivorum","fruit rot","fruit_rot","rots"
"Colletotrichum johnstonii","fruit rot","fruit_rot","rots"
"Colletotrichum pyricola","fruit rot","fruit_rot","rots"
"Coniella vitis","fruit rot","fruit_rot","rots"
"Corynelia fructigena","fruit rot","fruit_rot","rots"
"Curvularia coatesiae","fruit rot","fruit_rot","rots"
"Cylindrocarpon lichenicola","fruit rot","fruit_rot","rots"
"Cylindrocladium citri","fruit rot","fruit_rot","rots"
"Diaporthe malorum","fruit rot","fruit_rot","rots"
"Diaporthe masirevicii","fruit rot","fruit_rot","rots"
"Diaporthe passiflorae","fruit rot","fruit_rot","rots"
"Diaporthe vawdreyi","fruit rot","fruit_rot","rots"
"Fusarium ficicrescens","fruit rot","fruit_rot","rots"
"Fusarium lichenicola","fruit rot","fruit_rot","rots"
"Gliocephalotrichum bacillisporum","fruit rot","fruit_rot","rots"
"Gliocephalotrichum mexicanum","fruit rot","fruit_rot","rots"
"Gliocephalotrichum nephelii","fruit rot","fruit_rot","rots"
"Gliocephalotrichum simmonsii","fruit rot","fruit_rot","rots"
"Monilia yunnanensis","fruit rot","fruit_rot","rots"
"Mucor genevensis","fruit rot","fruit_rot","rots"
"Neopestalotiopsis mesopotamica","fruit rot","fruit_rot","rots"
"Penicillium olsonii","fruit rot","fruit_rot","rots"
"Penicillium solitum","fruit rot","fruit_rot","rots"
"Penicillium solitum var. crustosum","fruit rot","fruit_rot","rots"
"Penicillium spiculisporum","fruit rot","fruit_rot","rots"
"Sarocladium kiliense","fruit rot","fruit_rot","rots"
"Talaromyces trachyspermus","fruit rot","fruit_rot","rots"
"Botrytis caroliniana","fruit rot, leaf nectrosis on broad bean","fruit_rot leaf_nectrosis_on_broad_bean","rots"
"Fusarium haematococcum","fruit rot, stem rot, root,collar rot","fruit_rot stem_rot root_rot collar_rot","rots"
"Nectria haematococca var. haematococca","fruit rot, stem rot, root,collar rot","fruit_rot stem_rot root_rot collar_rot","rots"
"Neocosmospora haematococca","fruit rot, stem rot, root,collar rot","fruit_rot stem_rot root_rot collar_rot","rots"
"Monilia polystroma","fruit rot; survives in mummified fruits","fruit_rot _survives_in_mummified_fruits","rots"
"Aspergillus digitatus","fruit rots, especially citrus","fruit_rots especially_citrus","rots"
"Monilia digitata","fruit rots, especially citrus","fruit_rots especially_citrus","rots"
"Mucor digitata","fruit rots, especially citrus","fruit_rots especially_citrus","rots"
"Penicillium digitatum","fruit rots, especially citrus","fruit_rots especially_citrus","rots"
"Cephalothecium roseum var. arthrobotryoides","fruit rots especially apple, stipe rot (fungus)","fruit_rots_especially_apple stipe_rot_(fungus)","rots"
"Hyphelia rosea","fruit rots especially apple, stipe rot (fungus)","fruit_rots_especially_apple stipe_rot_(fungus)","rots"
"Puccinia rosea","fruit rots especially apple, stipe rot (fungus)","fruit_rots_especially_apple stipe_rot_(fungus)","rots"
"Trichoderma roseum","fruit rots especially apple, stipe rot (fungus)","fruit_rots_especially_apple stipe_rot_(fungus)","rots"
"Trichothecium roseum","fruit rots especially apple, stipe rot (fungus)","fruit_rots_especially_apple stipe_rot_(fungus)","rots"
"Fusarium ananatum","fusariosus, fruit rot","fusariosus fruit_rot","rots"
"Botryosphaeria zeae","gray ear rot","gray_ear_rot","rots"
"Physalospora zeae","gray ear rot","gray_ear_rot","rots"
"Botrytis allii","gray-mold neck rot","gray-mold_neck_rot","rots"
"Boletus ulmarius","heart rot","heart_rot","rots"
"Coltricia focicola","heart rot","heart_rot","rots"
"Fomes ulmarius","heart rot","heart_rot","rots"
"Fomitopsis ulmaria","heart rot","heart_rot","rots"
"Inonotus glomeratus","heart rot","heart_rot","rots"
"Polyporus focicola","heart rot","heart_rot","rots"
"Polyporus glomeratus","heart rot","heart_rot","rots"
"Rigidoporus ulmarius","heart rot","heart_rot","rots"
"Stereum subpileatum","heart rot","heart_rot","rots"
"Xylobolus subpileatus","heart rot","heart_rot","rots"
"Ceriporiopsis rivulosa","heart rot, white ring rot","heart_rot white_ring_rot","rots"
"Ceriporiopsis rivulosa var. valdiviana","heart rot, white ring rot","heart_rot white_ring_rot","rots"
"Obba rivulosa","heart rot, white ring rot","heart_rot white_ring_rot","rots"
"Polyporus rivulosus","heart rot, white ring rot","heart_rot white_ring_rot","rots"
"Poria albipellucida","heart rot, white ring rot","heart_rot white_ring_rot","rots"
"Poria rivulosa","heart rot, white ring rot","heart_rot white_ring_rot","rots"
"Boletus pinicola","heart rot of living conifers,black cherry; important in decay of lumber,wood in service","heart_rot_of_living_conifers black_cherry _important_in_decay_of_lumber wood_in_service","rots"
"Fomes pinicola","heart rot of living conifers,black cherry; important in decay of lumber,wood in service","heart_rot_of_living_conifers black_cherry _important_in_decay_of_lumber wood_in_service","rots"
"Fomitopsis pinicola","heart rot of living conifers,black cherry; important in decay of lumber,wood in service","heart_rot_of_living_conifers black_cherry _important_in_decay_of_lumber wood_in_service","rots"
"Placodes pinicola","heart rot of living conifers,black cherry; important in decay of lumber,wood in service","heart_rot_of_living_conifers black_cherry _important_in_decay_of_lumber wood_in_service","rots"
"Polyporus pinicola","heart rot of living conifers,black cherry; important in decay of lumber,wood in service","heart_rot_of_living_conifers black_cherry _important_in_decay_of_lumber wood_in_service","rots"
"Pseudofomes pinicola","heart rot of living conifers,black cherry; important in decay of lumber,wood in service","heart_rot_of_living_conifers black_cherry _important_in_decay_of_lumber wood_in_service","rots"
"Trametes pinicola","heart rot of living conifers,black cherry; important in decay of lumber,wood in service","heart_rot_of_living_conifers black_cherry _important_in_decay_of_lumber wood_in_service","rots"
"Fomitiporia weirii","laminated root rot","laminated_root_rot","rots"
"Fuscoporia weirii","laminated root rot","laminated_root_rot","rots"
"Inonotus weirii","laminated root rot","laminated_root_rot","rots"
"Phellinidium weirii","laminated root rot","laminated_root_rot","rots"
"Phellinus weirii","laminated root rot","laminated_root_rot","rots"
"Poria weirii","laminated root rot","laminated_root_rot","rots"
"Inonotus sulphurascens","laminated root rot; a serious,costly pathogen","laminated_root_rot _a_serious costly_pathogen","rots"
"Phellinidium sulphurascens","laminated root rot; a serious,costly pathogen","laminated_root_rot _a_serious costly_pathogen","rots"
"Phellinus sulphurascens","laminated root rot; a serious,costly pathogen","laminated_root_rot _a_serious costly_pathogen","rots"
"Monilia herbarum","leaf,stem rots, foot rot","leaf_rot stem_rots foot_rot","rots"
"Torula herbarum","leaf,stem rots, foot rot","leaf_rot stem_rots foot_rot","rots"
"Torula monilis","leaf,stem rots, foot rot","leaf_rot stem_rots foot_rot","rots"
"Ceratocystis paradoxa","leaf, trunk, fruit rot","leaf_rot trunk fruit_rot","rots"
"Ceratostomella paradoxa","leaf, trunk, fruit rot","leaf_rot trunk fruit_rot","rots"
"Ophiostoma paradoxum","leaf, trunk, fruit rot","leaf_rot trunk fruit_rot","rots"
"Cochliobolus pallescens","leaf diseases,other rots including withertip","leaf_diseases other_rots_including_withertip","rots"
"Curvularia pallescens","leaf diseases,other rots including withertip","leaf_diseases other_rots_including_withertip","rots"
"Pseudocochliobolus pallescens","leaf diseases,other rots including withertip","leaf_diseases other_rots_including_withertip","rots"
"Ganoderma zonatum","lethal butt rot","lethal_butt_rot","rots"
"Diaporthe citri","melanose, stem end rot","melanose stem_end_rot","rots"
"Nodulisporium melonis","melon rot","melon_rot","rots"
"Botryotinia narcissicola","neck rot","neck_rot","rots"
"Sclerotinia narcissicola","neck rot","neck_rot","rots"
"Aspergillus aculeatus","occasional fruit rot","occasional_fruit_rot","rots"
"Ascochyta akselae","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Ascochyta boydii","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Ascochyta carpathica","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Ascochyta cyphomandrae","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Ascochyta daturae","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Ascochyta malvicola","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Ascochyta phaseolorum","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Ascochyta potentillarum","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Ascochyta sonchi","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Boeremia exigua var. coffeae","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Boeremia exigua var. forsythiae","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Boeremia exigua var. opuli","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Boeremia exigua var. rhapontica","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Phoma exigua","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Phoma exigua var. forsythiae","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Phyllosticta carpathica","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Phyllosticta celosiae","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Phyllosticta sonchi","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Phyllosticta stigmatophylli","opportunistic parasite, may cause necroses on leaves,stems, rot of fleshy roots, tubers, bases of leaves, stems","opportunistic_parasite may_cause_necroses_on_leaves stems rot_of_fleshy_roots tubers bases_of_leaves stems","rots"
"Coniothyrium prunicola","opportunistic parasite.  black root rot complex","opportunistic_parasite.__black_root_rot_complex","rots"
"Depazea prunicola","opportunistic parasite.  black root rot complex","opportunistic_parasite.__black_root_rot_complex","rots"
"Peyronellaea prunicola","opportunistic parasite.  black root rot complex","opportunistic_parasite.__black_root_rot_complex","rots"
"Phoma pomorum","opportunistic parasite.  black root rot complex","opportunistic_parasite.__black_root_rot_complex","rots"
"Phoma prunicola","opportunistic parasite.  black root rot complex","opportunistic_parasite.__black_root_rot_complex","rots"
"Aspergillus restrictus","primarily fruit rot.  blue eye of corn","primarily_fruit_rot.__blue_eye_of_corn","rots"
"Glomerella tucumanensis","red rot of sugarcane","red_rot_of_sugarcane","rots"
"Physalospora tucumanensis","red rot of sugarcane","red_rot_of_sugarcane","rots"
"Mucor hiemalis","rhizome rot","rhizome_rot","rots"
"Mucor hiemalis f. corticola","rhizome rot","rhizome_rot","rots"
"Mucor hiemalis f. hiemalis","rhizome rot","rhizome_rot","rots"
"Mucor hiemalis f. silvaticus","rhizome rot","rhizome_rot","rots"
"Ilyonectria crassa","root,bulb rot; black foot disease","root_rot bulb_rot _black_foot_disease","rots"
"Corticium galactinum","root, butt,,collar rots","root_rot butt  collar_rots","rots"
"Scytinostroma galactinum","root, butt,,collar rots","root_rot butt  collar_rots","rots"
"Thelephora galactina","root, butt,,collar rots","root_rot butt  collar_rots","rots"
"Fomes annosus","root,butt rot","root_rot butt_rot","rots"
"Fomes oregonensis","root,butt rot","root_rot butt_rot","rots"
"Fomitopsis annosa","root,butt rot","root_rot butt_rot","rots"
"Ganoderma austroafricanum","root,butt rot","root_rot butt_rot","rots"
"Ganoderma oregonense","root,butt rot","root_rot butt_rot","rots"
"Heterobasidion annosum","root,butt rot","root_rot butt_rot","rots"
"Heterobasidion annosum var. araucariae","root,butt rot","root_rot butt_rot","rots"
"Polyporus annosus","root,butt rot","root_rot butt_rot","rots"
"Scytinostroma protrusum","root,butt rots","root_rot butt_rots","rots"
"Leptoporus sericeomollis","root,stem rot; brown heart rot","root_rot stem_rot _brown_heart_rot","rots"
"Oligoporus sericeomollis","root,stem rot; brown heart rot","root_rot stem_rot _brown_heart_rot","rots"
"Polyporus sericeomollis","root,stem rot; brown heart rot","root_rot stem_rot _brown_heart_rot","rots"
"Poria sericeomollis","root,stem rot; brown heart rot","root_rot stem_rot _brown_heart_rot","rots"
"Postia sericeomollis","root,stem rot; brown heart rot","root_rot stem_rot _brown_heart_rot","rots"
"Tyromyces sericeomollis","root,stem rot; brown heart rot","root_rot stem_rot _brown_heart_rot","rots"
"Ganoderma mbrekobenum","root,trunk rot","root_rot trunk_rot","rots"
"Ganoderma wiiroense","root, trunk rot","root_rot trunk_rot","rots"
"Aureobasidium bolleyi","root necrosis,rot; seedling root rot","root_necrosis rot _seedling_root_rot","rots"
"Gloeosporium bolleyi","root necrosis,rot; seedling root rot","root_necrosis rot _seedling_root_rot","rots"
"Microdochium bolleyi","root necrosis,rot; seedling root rot","root_necrosis rot _seedling_root_rot","rots"
"Armillaria ostoyae","root rot","root_rot","rots"
"Armillaria solidipes","root rot","root_rot","rots"
"Armillariella solidipes","root rot","root_rot","rots"
"Calonectria gracilis","root rot","root_rot","rots"
"Ceratocystis uchidae","root rot","root_rot","rots"
"Colletotrichum grevilleae","root rot","root_rot","rots"
"Cylindrocarpon didymum","root rot","root_rot","rots"
"Cylindrocarpon obtusisporum","root rot","root_rot","rots"
"Cylindrocladiella elegans","root rot","root_rot","rots"
"Dactylonectria anthuriicola","root rot","root_rot","rots"
"Diaporthe sclerotioides","root rot","root_rot","rots"
"Fusarium commune","root rot","root_rot","rots"
"Fusarium didymum","root rot","root_rot","rots"
"Fusarium ershadii","root rot","root_rot","rots"
"Fusarium obtusisporum","root rot","root_rot","rots"
"Fusarium paranaense","root rot","root_rot","rots"
"Fusisporium didymum","root rot","root_rot","rots"
"Glionectria tenuis","root rot","root_rot","rots"
"Hypoxylon bunodes","root rot","root_rot","rots"
"Idriella lunata","root rot","root_rot","rots"
"Ilyonectria anthuriicola","root rot","root_rot","rots"
"Ilyonectria liriodendri","root rot","root_rot","rots"
"Laetiporus persicinus","root rot","root_rot","rots"
"Magnaporthiopsis agrostidis","root rot","root_rot","rots"
"Meripilus persicinus","root rot","root_rot","rots"
"Neonectria liriodendri","root rot","root_rot","rots"
"Phomopsis sclerotioides","root rot","root_rot","rots"
"Phymatotrichopsis omnivora","root rot","root_rot","rots"
"Polyporus persicinus","root rot","root_rot","rots"
"Ramularia obtusispora","root rot","root_rot","rots"
"Rhizina undulata","root rot","root_rot","rots"
"Rosellinia bunodes","root rot","root_rot","rots"
"Sparassis cystidiosa","root rot","root_rot","rots"
"Sphaeria bunodes","root rot","root_rot","rots"
"Sporothrix inflata","root rot","root_rot","rots"
"Ganoderma destructans","root rot, butt rot","root_rot butt_rot","rots"
"Ganoderma enigmaticum","root rot, butt rot","root_rot butt_rot","rots"
"Cladoporus baudonii","root rot, stem rot","root_rot stem_rot","rots"
"Fomes philippii","root rot,stem rot","root_rot stem_rot","rots"
"Ganoderma philippii","root rot,stem rot","root_rot stem_rot","rots"
"Laetiporus baudonii","root rot, stem rot","root_rot stem_rot","rots"
"Polyporus baudonii","root rot, stem rot","root_rot stem_rot","rots"
"Pseudophaeolus baudonii","root rot, stem rot","root_rot stem_rot","rots"
"Scindalma philippii","root rot,stem rot","root_rot stem_rot","rots"
"Ilyonectria vredehoekensis","root rot; black foot rot","root_rot _black_foot_rot","rots"
"Fomes noxius","root rot; characteristic 'stocking' often but not always formed around base of infected trees","root_rot _characteristic_'stocking'_often_but_not_always_formed_around_base_of_infected_trees","rots"
"Phellinidium noxium","root rot; characteristic 'stocking' often but not always formed around base of infected trees","root_rot _characteristic_'stocking'_often_but_not_always_formed_around_base_of_infected_trees","rots"
"Phellinus noxius","root rot; characteristic 'stocking' often but not always formed around base of infected trees","root_rot _characteristic_'stocking'_often_but_not_always_formed_around_base_of_infected_trees","rots"
"Cylindrocarpon gracile","root rot.  affected trees have pitch-soaked roots with copious resinous exudates (peerally 1974)","root_rot.__affected_trees_have_pitch-soaked_roots_with_copious_resinous_exudates_(peerally_1974)","rots"
"Cylindrocladium clavatum","root rot.  affected trees have pitch-soaked roots with copious resinous exudates (peerally 1974)","root_rot.__affected_trees_have_pitch-soaked_roots_with_copious_resinous_exudates_(peerally_1974)","rots"
"Cylindrocladium gracile","root rot.  affected trees have pitch-soaked roots with copious resinous exudates (peerally 1974)","root_rot.__affected_trees_have_pitch-soaked_roots_with_copious_resinous_exudates_(peerally_1974)","rots"
"Boletus unicolor","rot","rot","rots"
"Cerrena unicolor","rot","rot","rots"
"Daedalea unicolor","rot","rot","rots"
"Macrophomina pseudophaseolina","rot","rot","rots"
"Phaeocytostroma ambiguum","rot","rot","rots"
"Sphaeropsis ambigua","rot","rot","rots"
"Syncephalastrum racemosum","rot","rot","rots"
"Trametes unicolor","rot","rot","rots"
"Acremonium aranearum","rots","rots","rots"
"Clonostachys rhizophaga","rots","rots","rots"
"Gaeumannomyces graminicola","rots","rots","rots"
"Ganoderma pfeifferi","rots","rots","rots"
"Lecanicillium aphanocladii","rots","rots","rots"
"Mucor mucedo","rots","rots","rots"
"Penicillium brevicompactum","rots","rots","rots"
"Penicillium funiculosum","rots","rots","rots"
"Penicillium rugulosum","rots","rots","rots"
"Penicillium stoloniferum","rots","rots","rots"
"Talaromyces funiculosus","rots","rots","rots"
"Talaromyces rugulosus","rots","rots","rots"
"Verticillium rhizophagum","rots","rots","rots"
"Mucor stolonifer","rots, especially fruits,vegetables","rots especially_fruits vegetables","rots"
"Rhizopus nigricans","rots, especially fruits,vegetables","rots especially_fruits vegetables","rots"
"Rhizopus stolonifer","rots, especially fruits,vegetables","rots especially_fruits vegetables","rots"
"Rhizopus stolonifer var. stolonifer","rots, especially fruits,vegetables","rots especially_fruits vegetables","rots"
"Discosphaera deusta","rots of butt, heartwood, roots; less pathogenic in temperate regions","rots_of_butt heartwood roots _less_pathogenic_in_temperate_regions","rots"
"Hypoxylon deustum","rots of butt, heartwood, roots; less pathogenic in temperate regions","rots_of_butt heartwood roots _less_pathogenic_in_temperate_regions","rots"
"Hypoxylon ustulatum","rots of butt, heartwood, roots; less pathogenic in temperate regions","rots_of_butt heartwood roots _less_pathogenic_in_temperate_regions","rots"
"Kretzschmaria deusta","rots of butt, heartwood, roots; less pathogenic in temperate regions","rots_of_butt heartwood roots _less_pathogenic_in_temperate_regions","rots"
"Nemania deusta","rots of butt, heartwood, roots; less pathogenic in temperate regions","rots_of_butt heartwood roots _less_pathogenic_in_temperate_regions","rots"
"Sphaeria deusta","rots of butt, heartwood, roots; less pathogenic in temperate regions","rots_of_butt heartwood roots _less_pathogenic_in_temperate_regions","rots"
"Stromatosphaeria deusta","rots of butt, heartwood, roots; less pathogenic in temperate regions","rots_of_butt heartwood roots _less_pathogenic_in_temperate_regions","rots"
"Ustulina deusta","rots of butt, heartwood, roots; less pathogenic in temperate regions","rots_of_butt heartwood roots _less_pathogenic_in_temperate_regions","rots"
"Agaricus melleus","rots; an aggressive pathogen","rots _an_aggressive_pathogen","rots"
"Armillaria mellea","rots; an aggressive pathogen","rots _an_aggressive_pathogen","rots"
"Armillariella mellea","rots; an aggressive pathogen","rots _an_aggressive_pathogen","rots"
"Clitocybe mellea","rots; an aggressive pathogen","rots _an_aggressive_pathogen","rots"
"Lepiota mellea","rots; an aggressive pathogen","rots _an_aggressive_pathogen","rots"
"Alternaria catharanthi","rotting petals","rotting_petals","rots"
"Hypoxylon serpens","sapwood rot","sapwood_rot","rots"
"Nemania serpens","sapwood rot","sapwood_rot","rots"
"Nemania serpens var. serpens","sapwood rot","sapwood_rot","rots"
"Sphaeria serpens","sapwood rot","sapwood_rot","rots"
"Fusarium poae","seed rot, root rot","seed_rot root_rot","rots"
"Bipolaris pedicellata","seedling rot, root rot","seedling_rot root_rot","rots"
"Drechslera pedicellata","seedling rot, root rot","seedling_rot root_rot","rots"
"Exserohilum pedicellatum","seedling rot, root rot","seedling_rot root_rot","rots"
"Helminthosporium pedicellatum","seedling rot, root rot","seedling_rot root_rot","rots"
"Setosphaeria pedicellata","seedling rot, root rot","seedling_rot root_rot","rots"
"Trichometasphaeria pedicellata","seedling rot, root rot","seedling_rot root_rot","rots"
"Sarocladium attenuatum","sheath rot","sheath_rot","rots"
"Acrocylindrium oryzae","sheath rot.  can prevent emergence of panicles (choking)","sheath_rot.__can_prevent_emergence_of_panicles_(choking)","rots"
"Sarocladium oryzae","sheath rot.  can prevent emergence of panicles (choking)","sheath_rot.__can_prevent_emergence_of_panicles_(choking)","rots"
"Chondrostereum purpureum","silver-leaf disease, wood rot","silver-leaf_disease wood_rot","rots"
"Stereum purpureum","silver-leaf disease, wood rot","silver-leaf_disease wood_rot","rots"
"Trichoderma hamatum","soft rot","soft_rot","rots"
"Verticillium hamatum","soft rot","soft_rot","rots"
"Dipodascus reessii","sour rot","sour_rot","rots"
"Endomyces reessii","sour rot","sour_rot","rots"
"Galactomyces reessii","sour rot","sour_rot","rots"
"Fusarium temperatum","stalk rot, chlorosis, seedling malformation","stalk_rot chlorosis seedling_malformation","rots"
"Phaeocytostroma sacchari","stalk rot, rind disease; causes severe losses in sugarcane","stalk_rot rind_disease _causes_severe_losses_in_sugarcane","rots"
"Trullula sacchari","stalk rot, rind disease; causes severe losses in sugarcane","stalk_rot rind_disease _causes_severe_losses_in_sugarcane","rots"
"Diaporthe citriasiana","stem end rot","stem_end_rot","rots"
"Sclerotinia trifoliorum","stem rot, crown rot, brown patch","stem_rot crown_rot brown_patch","rots"
"Fusarium sulphureum","stem rot, potato tuber dry rot","stem_rot potato_tuber_dry_rot","rots"
"Leptosphaeria salvinii","stem rot disease of rice","stem_rot_disease_of_rice","rots"
"Magnaporthe salvinii","stem rot disease of rice","stem_rot_disease_of_rice","rots"
"Bipolaris cactivora","stem rot of cacti","stem_rot_of_cacti","rots"
"Drechslera cactivora","stem rot of cacti","stem_rot_of_cacti","rots"
"Helminthosporium cactivorum","stem rot of cacti","stem_rot_of_cacti","rots"
